ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Smad2,DV:Gsk3,DV:Mek,DV:p38,DV:Erk,DV:Src,DV:mTor,DV:Stat3,DV:Pi3kp85,DV:cJun,DV:Akt
c,0,0,0,0,0,0,0,0,0,0,0,42,114,143,30,35,22,143,124,29,19,47
c,0,0,0,0,0,0,0,0,0,0,0,37,121,119,31,34,28,112,122,27,17,93
c,0,0,0,0,0,0,0,0,0,0,0,37,153,155,32,39,26,149,116,29,18,123
c,0,0,0,0,0,0,0,0,0,0,0,66,118,159,38,60,44,128,134,36,28,86
c,0,0,0,0,0,0,0,0,0,0,0,48,126,183,36,49,31,119,117,31,19,92
c,0,0,0,0,0,0,0,0,0,0,0,40,171,168,28,36,27,143,123,30,21,344
c,0,0,0,0,0,0,0,0,0,0,0,37,188,215,28,33,27,149,118,29,19,298
c,0,0,0,0,0,0,0,0,0,0,0,42,135,131,30,36,26,155,125,29,20,82
c,0,0,0,0,0,0,0,0,0,0,0,41,166,137,30,37,25,164,126,31,21,130
t,0,0,0,1,0,0,0,0,0,0,0,39,59,132,29,34,22,96,115,29,17,36
t,0,0,0,0,1,0,0,0,0,0,0,37,106,130,30,32,19,135,123,28,18,42
t,0,0,0,0,0,1,0,0,0,0,0,41,89,139,30,34,24,127,128,29,17,41
t,1,0,0,0,0,0,0,0,0,0,0,39,148,117,29,37,25,144,114,28,18,87
t,1,0,0,1,0,0,0,0,0,0,0,52,76,153,46,50,31,181,148,33,20,220
t,1,0,0,0,1,0,0,0,0,0,0,37,128,111,28,35,22,138,113,30,16,52
t,1,0,0,0,0,1,0,0,0,0,0,38,79,116,28,33,22,107,115,29,20,38
t,0,1,0,0,0,0,0,0,0,0,0,43,134,132,29,37,26,131,117,29,19,75
t,0,1,0,1,0,0,0,0,0,0,0,45,69,120,29,38,25,100,113,30,19,47
t,0,1,0,0,1,0,0,0,0,0,0,38,125,116,28,35,19,134,113,27,17,55
t,0,1,0,0,0,1,0,0,0,0,0,44,89,127,30,35,23,107,113,27,17,37
t,0,0,1,0,0,0,0,0,0,0,0,39,107,241,28,34,23,125,117,29,20,52
t,0,0,1,1,0,0,0,0,0,0,0,37,66,195,26,33,24,99,107,27,15,36
t,0,0,1,0,1,0,0,0,0,0,0,36,102,160,29,36,23,129,111,28,20,52
t,0,0,1,0,0,1,0,0,0,0,0,49,58,297,40,56,32,219,205,35,23,284
t,0,0,0,1,0,0,1,0,0,0,0,35,65,72,27,31,22,89,110,28,16,46
t,0,0,0,0,1,0,1,0,0,0,0,32,113,65,27,37,22,121,117,30,16,60
t,0,0,0,0,0,1,1,0,0,0,0,38,90,85,32,37,27,102,116,29,19,53
t,0,0,0,1,0,0,0,1,0,0,0,40,88,1510,27,34,25,87,108,28,16,59
t,0,0,0,0,1,0,0,1,0,0,0,39,167,1885,30,35,24,131,118,29,17,108
t,0,0,0,0,0,1,0,1,0,0,0,40,126,2691,30,36,25,111,117,28,18,75
t,0,0,0,0,0,0,0,0,1,0,0,38,98,141,30,35,25,92,121,29,18,36
t,0,0,0,0,0,0,0,0,0,1,0,39,51,193,29,33,26,74,119,27,17,34
t,0,0,0,0,0,0,1,0,0,0,0,38,90,69,29,34,23,116,126,28,16,45
t,0,0,0,0,0,0,0,1,0,0,0,38,130,1548,32,34,22,130,120,28,18,47
t,1,0,0,0,0,0,0,0,1,0,0,38,94,131,30,37,27,87,110,30,17,43
t,1,0,0,0,0,0,0,0,0,1,0,49,50,143,44,45,34,114,151,34,18,60
t,1,0,0,0,0,0,1,0,0,0,0,38,106,64,27,30,22,114,115,27,16,44
t,1,0,0,0,0,0,0,1,0,0,0,40,153,2023,33,38,23,151,122,31,18,78
t,0,1,0,0,0,0,0,0,1,0,0,45,120,181,31,35,26,97,122,30,17,44
t,0,1,0,0,0,0,0,0,0,1,0,47,62,271,31,40,26,83,118,30,17,37
t,0,1,0,0,0,0,1,0,0,0,0,51,115,74,36,39,33,103,111,30,18,49
t,0,1,0,0,0,0,0,1,0,0,0,50,175,3046,31,39,22,163,127,30,17,115
t,0,0,1,0,0,0,0,0,1,0,0,38,101,189,27,39,26,98,115,29,18,44
t,0,0,1,0,0,0,0,0,0,1,0,65,67,252,39,56,43,95,123,37,28,55
t,0,0,1,0,0,0,1,0,0,0,0,44,115,87,33,41,27,123,125,29,20,65
t,0,0,1,0,0,0,0,1,0,0,0,52,137,4923,42,54,34,222,227,32,21,1738
t,0,0,0,0,0,0,1,0,1,0,0,40,129,107,29,36,27,91,123,30,17,69
t,0,0,0,0,0,0,1,0,0,1,0,37,52,95,33,39,25,69,114,29,17,36
t,0,0,0,0,0,0,0,1,1,0,0,40,144,2045,31,35,30,89,121,30,18,98
t,0,0,0,0,0,0,0,1,0,1,0,40,54,2547,31,38,26,64,124,30,18,37
t,1,0,1,0,0,0,0,0,0,0,0,39,159,230,25,36,27,141,111,28,19,218
t,1,1,0,0,0,0,0,0,0,0,0,44,174,239,25,38,26,118,107,28,22,311
t,0,1,1,0,0,0,0,0,0,0,0,49,189,445,32,46,28,149,120,30,21,120
t,0,0,0,0,1,1,0,0,0,0,0,51,56,217,45,52,37,195,209,36,23,1618
t,0,0,0,1,0,0,0,0,1,0,0,40,81,158,33,36,28,97,121,31,19,46
t,0,0,0,0,1,0,0,0,1,0,0,41,109,150,32,39,24,123,121,29,19,54
t,0,0,0,0,0,1,0,0,1,0,0,41,94,154,30,37,23,118,117,29,22,44
t,0,0,0,1,0,0,0,0,0,1,0,52,58,155,41,52,33,138,155,32,20,71
t,0,0,0,0,1,0,0,0,0,1,0,40,65,151,29,36,25,89,120,27,21,32
t,0,0,0,0,0,1,0,0,0,1,0,40,63,178,31,35,24,93,119,29,21,33
t,0,0,0,1,1,0,0,0,0,0,0,39,96,132,29,35,24,121,116,31,18,70
t,0,0,0,1,0,1,0,0,0,0,0,62,97,156,66,67,58,126,129,43,52,75
