ID:type,TR:NoLif,TR:Activin,TR:Fgf4,TR:Jaki,TR:Bmp4ri,TR:Gsk3i,TR:Fgfri,TR:Meki,TR:Igfri,TR:Pi3ki,DA:ALL,DV:Smad2,DV:Gsk3,DV:Mek,DV:p38,DV:Erk,DV:Src,DV:mTor,DV:Stat3,DV:Pi3kp85,DV:cJun,DV:Akt
c,0,0,0,0,0,0,0,0,0,0,0,41,205,6921,29,36,29,157,116,29,18,81
c,0,0,0,0,0,0,0,0,0,0,0,40,205,6309,29,39,27,150,108,27,17,278
c,0,0,0,0,0,0,0,0,0,0,0,42,232,6337,30,36,29,160,119,29,23,286
c,0,0,0,0,0,0,0,0,0,0,0,41,203,7165,27,37,27,133,115,30,16,183
c,0,0,0,0,0,0,0,0,0,0,0,44,211,6980,28,40,27,140,119,30,17,230
c,0,0,0,0,0,0,0,0,0,0,0,43,257,7259,31,46,33,137,121,31,21,620
c,0,0,0,0,0,0,0,0,0,0,0,46,271,8060,33,44,37,142,119,31,24,402
c,0,0,0,0,0,0,0,0,0,0,0,43,206,5703,31,38,30,138,119,30,22,136
c,0,0,0,0,0,0,0,0,0,0,0,46,220,7684,30,37,30,152,119,31,19,233
t,0,0,0,1,0,0,0,0,0,0,0,37,160,6982,29,33,25,151,111,29,16,66
t,0,0,0,0,1,0,0,0,0,0,0,44,183,6198,32,39,28,150,117,30,20,94
t,0,0,0,0,0,1,0,0,0,0,0,41,126,6603,29,36,27,143,120,29,18,52
t,1,0,0,0,0,0,0,0,0,0,0,43,220,6744,30,40,28,157,113,30,17,136
t,1,0,0,1,0,0,0,0,0,0,0,41,150,7736,31,36,27,137,110,29,17,90
t,1,0,0,0,1,0,0,0,0,0,0,40,198,7446,32,38,27,159,108,29,16,111
t,1,0,0,0,0,1,0,0,0,0,0,44,137,6726,31,39,28,143,112,31,17,64
t,0,1,0,0,0,0,0,0,0,0,0,44,274,7248,31,39,28,174,125,29,16,159
t,0,1,0,1,0,0,0,0,0,0,0,52,205,6573,33,45,38,158,109,31,22,91
t,0,1,0,0,1,0,0,0,0,0,0,41,220,6229,32,38,28,162,118,29,18,90
t,0,1,0,0,0,1,0,0,0,0,0,66,184,6409,38,57,50,164,121,34,26,73
t,0,0,1,0,0,0,0,0,0,0,0,39,217,8031,30,40,30,176,117,31,19,158
t,0,0,1,1,0,0,0,0,0,0,0,39,146,7484,29,39,24,144,106,27,17,98
t,0,0,1,0,1,0,0,0,0,0,0,39,198,7412,29,42,25,169,119,28,17,123
t,0,0,1,0,0,1,0,0,0,0,0,45,145,6985,31,41,28,152,120,27,18,66
t,0,0,0,1,0,0,1,0,0,0,0,41,152,2107,28,35,25,138,108,27,14,103
t,0,0,0,0,1,0,1,0,0,0,0,43,189,3138,30,35,27,163,114,29,16,112
t,0,0,0,0,0,1,1,0,0,0,0,43,148,2378,29,35,26,148,118,29,16,68
t,0,0,0,1,0,0,0,1,0,0,0,50,249,9475,37,43,38,183,112,32,20,298
t,0,0,0,0,1,0,0,1,0,0,0,42,252,9332,30,34,26,161,119,28,17,213
t,0,0,0,0,0,1,0,1,0,0,0,46,186,8643,34,40,32,165,120,31,18,113
t,0,0,0,0,0,0,0,0,1,0,0,39,152,4134,29,34,30,109,116,30,17,57
t,0,0,0,0,0,0,0,0,0,1,0,41,83,7185,27,34,26,87,116,28,16,35
t,0,0,0,0,0,0,1,0,0,0,0,42,195,2100,28,34,26,172,129,29,18,86
t,0,0,0,0,0,0,0,1,0,0,0,39,226,9539,29,32,25,163,121,30,15,106
t,1,0,0,0,0,0,0,0,1,0,0,42,179,5867,29,37,30,126,113,29,17,96
t,1,0,0,0,0,0,0,0,0,1,0,43,97,7492,30,40,29,98,113,29,16,36
t,1,0,0,0,0,0,1,0,0,0,0,38,172,1010,26,29,24,139,102,25,14,66
t,1,0,0,0,0,0,0,1,0,0,0,40,266,8073,31,33,27,160,109,31,16,102
t,0,1,0,0,0,0,0,0,1,0,0,45,206,6109,28,39,29,135,113,28,16,95
t,0,1,0,0,0,0,0,0,0,1,0,52,114,6488,32,50,39,101,123,30,22,43
t,0,1,0,0,0,0,1,0,0,0,0,43,250,1715,30,31,31,181,119,28,16,96
t,0,1,0,0,0,0,0,1,0,0,0,43,238,8761,29,34,29,160,126,29,16,177
t,0,0,1,0,0,0,0,0,1,0,0,41,188,7142,30,40,28,121,111,29,18,99
t,0,0,1,0,0,0,0,0,0,1,0,47,117,7896,32,48,33,94,111,30,20,45
t,0,0,1,0,0,0,1,0,0,0,0,34,170,2565,23,31,21,131,100,27,13,116
t,0,0,1,0,0,0,0,1,0,0,0,50,242,8656,34,45,34,160,121,32,20,194
t,0,0,0,0,0,0,1,0,1,0,0,45,190,2649,27,41,29,117,111,26,16,122
t,0,0,0,0,0,0,1,0,0,1,0,40,95,4383,28,35,26,94,113,28,15,34
t,0,0,0,0,0,0,0,1,1,0,0,43,219,8522,30,39,30,130,115,28,16,197
t,0,0,0,0,0,0,0,1,0,1,0,49,104,10189,32,42,36,80,118,31,19,43
t,1,0,1,0,0,0,0,0,0,0,0,52,238,7971,33,50,35,135,107,33,21,397
t,1,1,0,0,0,0,0,0,0,0,0,44,257,7862,28,47,33,141,105,30,19,555
t,0,1,1,0,0,0,0,0,0,0,0,45,230,10293,27,47,30,146,116,30,18,285
t,0,0,0,0,1,1,0,0,0,0,0,44,181,8172,28,40,28,144,120,28,17,164
t,0,0,0,1,0,0,0,0,1,0,0,44,114,7060,30,36,26,97,112,29,18,63
t,0,0,0,0,1,0,0,0,1,0,0,42,152,5936,31,38,28,118,121,32,18,73
t,0,0,0,0,0,1,0,0,1,0,0,42,115,7169,27,36,25,100,118,31,15,50
t,0,0,0,1,0,0,0,0,0,1,0,44,66,7305,29,40,27,77,107,29,17,36
t,0,0,0,0,1,0,0,0,0,1,0,42,94,8132,29,39,26,91,119,30,15,37
t,0,0,0,0,0,1,0,0,0,1,0,44,78,7218,33,43,32,92,119,31,18,34
t,0,0,0,1,1,0,0,0,0,0,0,43,184,6852,29,40,28,132,107,29,16,120
t,0,0,0,1,0,1,0,0,0,0,0,51,136,8804,36,47,34,150,104,31,20,83
