"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Treatment_id","Perturbation1","Perturbation2","Category"
"Activin+Meki...30",-1.09760669460427,1.73585469457308,-0.148274838904278,-2.27213087489838,-0.0497454674853084,-0.647315969208385,0.376087436770874,"XX","Activin+Meki","Activin","Meki","Sim_Init"
"Bmp4ri+Meki...31",0.0582383702499745,1.92749970592156,-0.0416826419927513,-1.42404388356273,-1.69406173640794,-0.648052748684702,1.02649217127843,"XX","Bmp4ri+Meki","Bmp4ri","Meki","Sim_Init"
"Fgf4+Meki...32",1.18780233998842,2.71809877425685,0.843227627616798,1.43716992096558,-1.01573109165027,-0.30126092050897,-0.492202937626069,"XX","Fgf4+Meki","Fgf4","Meki","Sim_Init"
"Gsk3i+Meki...33",-1.76281777306486,2.54377898829324,0.310449082938858,-7.32721493598071,0.245191691029962,-0.109693823107335,-0.169856402178199,"XX","Gsk3i+Meki","Gsk3i","Meki","Sim_Init"
"Igfri+Meki...34",1.70924943224711,1.41330037975047,-0.015082157593054,3.7650033698578,1.86903113536431,-1.02813677595448,0.0660304786584981,"XX","Igfri+Meki","Igfri","Meki","Sim_Init"
"Jaki+Meki...35",-1.01104261859573,1.65316511989915,-0.309434255315888,-1.19648101366402,-0.45554891643289,0.505384606143808,-0.240985304662006,"XX","Jaki+Meki","Jaki","Meki","Sim_Init"
"Pi3ki...36",-0.24300404023228,0.639254618961282,-0.276863401392316,0.122510165464317,-0.799998397248466,-0.931079625473771,-0.707900988528918,"XX","Pi3ki","Pi3ki",NA,"Sim_Init"
"Activin+Pi3ki...37",0.302157654409829,0.867998385750265,-0.0838470660814908,1.14194041987883,-0.483872971782877,-0.14575473067297,1.52369987662161,"XX","Activin+Pi3ki","Activin","Pi3ki","Sim_Init"
"Bmp4ri+Pi3ki...38",-0.0392857507496694,1.03487727262328,-0.337320730159125,0.509392186182882,-1.47075084615864,-1.69693301432376,-4.16659079553755,"XX","Bmp4ri+Pi3ki","Bmp4ri","Pi3ki","Sim_Init"
"Fgf4+Pi3ki...39",-0.0753307158672692,2.41760376377612,-0.723186066854357,0.688691922698795,2.42205245172903,-1.34982275371966,1.58630686664563,"XX","Fgf4+Pi3ki","Fgf4","Pi3ki","Sim_Init"
"Fgfri+Pi3ki...40",-0.389033036138469,1.02875565454415,-0.559757326360621,0.670350250564751,2.14640498744109,-3.07821724939302,-0.864936198606171,"XX","Fgfri+Pi3ki","Fgfri","Pi3ki","Sim_Init"
"Gsk3i+Pi3ki...41",-1.73252757350432,1.50589239622781,-0.107902682539171,0.373522969090992,0.436673106124704,-1.4457486554834,-0.375792304065377,"XX","Gsk3i+Pi3ki","Gsk3i","Pi3ki","Sim_Init"
"Jaki+Pi3ki...42",-3.31822780606016,0.797389443364793,-1.24626480368093,0.2004162144283,-0.251948654750229,-0.467031634536457,0.381759150334523,"XX","Jaki+Pi3ki","Jaki","Pi3ki","Sim_Init"
"Meki+Pi3ki...43",-0.196565736507117,2.30346165260928,-1.84599178646806,1.4192469299031,1.66959352025821,-0.915755356734706,0.736385001037949,"XX","Meki+Pi3ki","Meki","Pi3ki","Sim_Init"
"NoLif...44",-0.573994018239897,-0.259375563091219,0.150701002653939,-2.04937700277371,-2.97711132688604,0.404610731352388,-0.277299389837291,"XX","NoLif","NoLif",NA,"Sim_Init"
"Activin+NoLif...45",-0.137276833808386,1.28880561081054,-0.583819194024007,2.48068867990901,-0.388965239758784,-0.157053134444316,-2.49096426206109,"XX","Activin+NoLif","Activin","NoLif","Sim_Init"
"NoLif+Bmp4ri...46",-0.757328699380622,0.609377593968815,0.463770952616921,-3.18625613738814,-1.59125137986031,-0.137721991579439,-2.30405829595323,"XX","NoLif+Bmp4ri","NoLif","Bmp4ri","Sim_Init"
"Fgf4+NoLif...47",1.46917054134168,2.37430580017157,0.227192847001092,3.36903234589252,2.67183727726691,-1.81665051777336,0.0269313636891666,"XX","Fgf4+NoLif","Fgf4","NoLif","Sim_Init"
"NoLif+Fgfri...48",1.63721447600457,-1.28741483274009,0.935696899712546,0.523134671264615,0.918281103342498,0.681596673829398,1.46378178273925,"XX","NoLif+Fgfri","NoLif","Fgfri","Sim_Init"
"NoLif+Gsk3i...49",-3.12657169951241,0.670489252704703,-0.0837006816883164,-8.36037668951729,-2.89952120269864,0.108382750818892,-2.72048498432525,"XX","NoLif+Gsk3i","NoLif","Gsk3i","Sim_Init"
"NoLif+Igfri...50",1.26650040810738,-0.560749845702457,0.195555696633096,1.26258327704592,-1.22470021147597,1.64037516349536,-1.74758527929373,"XX","NoLif+Igfri","NoLif","Igfri","Sim_Init"
"NoLif+Jaki...51",-2.85604496758355,0.721376579229619,-0.549359604590681,-7.00153381648423,-1.66544342999829,0.373667730379283,-2.83106982040606,"XX","NoLif+Jaki","NoLif","Jaki","Sim_Init"
"NoLif+Meki...52",0.629807435983675,1.89119948005012,0.124902892064183,-2.79220074353984,1.1797922232743,-0.465567587778779,-1.55720177684864,"XX","NoLif+Meki","NoLif","Meki","Sim_Init"
"NoLif+Pi3ki...53",0.787347918392597,0.795408040362171,0.203523528355177,0.520387882954445,-0.746415604882607,1.04610345947634,-0.444908149616198,"XX","NoLif+Pi3ki","NoLif","Pi3ki","Sim_Init"
"Activin...54",-0.456443742053805,-1.1178236677267,0.180952319379087,0.0543097908289657,-4.23723576801631,-0.0586765394987647,2.00814381839493,"XO","Activin","Activin",NA,"Sim_Init"
