"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","Replicate","x_status","Perturbation1","Perturbation2","Category","Treatment_id"
"...127",0.0168380112390672,0.10530358665856,0.0621834328019859,-0.00127165723604783,-0.6484316953373,-1.40466950976606,-0.119209299748938,"R3","XX","NoLif",NA,"Exp_XX","NoLif+NA"
"...128",-1.1889106539775,0.35326159020344,-0.770465509419533,-2.73062406729238,0.440531403518575,-0.621921833091492,-0.0718240194265703,"R3","XX","Pi3ki",NA,"Exp_XX","Pi3ki+NA"
"...129",-0.0216950710993184,-0.154964652127436,0.155525622381701,-1.59619896079199,-1.7616553331655,-0.161422066965017,0.129507800021427,"R4","XX","Activin","Bmp4ri","Exp_XX","Activin+Bmp4ri"
"...130",0.0424352663204011,0.569626402064953,0.00550017837708506,0.0667660519304329,0.72523240496146,0.0635355317244515,1.07578157074342,"R4","XX","Activin","Fgf4","Exp_XX","Activin+Fgf4"
"...131",0.162729500038113,-2.01575664815368,0.315521506580278,-1.50308955640051,-3.4103208876057,0.115596521284042,-0.26381591908202,"R4","XX","Activin","Fgfri","Exp_XX","Activin+Fgfri"
"...132",-0.279492828566966,-0.113865954694853,0.173227624115152,-1.89822749824165,-1.58853355069926,0.0307643370459591,0.963283224182869,"R4","XX","Activin","Gsk3i","Exp_XX","Activin+Gsk3i"
"...133",-0.11655425744076,-0.183028984133611,-0.107508783452098,-1.51819644879072,-1.17346187323712,0.226671769538965,0.78032375995684,"R4","XX","Activin","Igfri","Exp_XX","Activin+Igfri"
"...134",-0.123574685118533,-0.0774132395024787,0.11945636767418,-1.58025741692297,-1.6652673651512,-1.6782479879068,0.612087432786231,"R4","XX","Activin","Jaki","Exp_XX","Activin+Jaki"
"...135",0.0917629786839583,0.337130327089927,0.137603714384432,-0.620446507038667,-8.60005598081715,0.0147999002312126,0.873704088117658,"R4","XX","Activin","Meki","Exp_XX","Activin+Meki"
"...136",0.294977298336547,0.0636177308323806,0.2586191153458,-0.77516910183731,-1.43079004538394,0.0340349538754285,0.656962406107116,"R4","XX","Activin",NA,"Exp_XX","Activin+NA"
"...137",-0.970164770459236,-0.0961914049965847,-0.526112897751133,-2.66178730241957,-1.04503987007467,0.231061495677841,1.11589800456511,"R4","XX","Activin","Pi3ki","Exp_XX","Activin+Pi3ki"
"...138",-0.303208897540773,0.236723979519365,-0.0143993790606163,-0.730500052503582,0.378056772651172,-0.144778301926983,-0.14538089718704,"R4","XX","Bmp4ri","Gsk3i","Exp_XX","Bmp4ri+Gsk3i"
"...139",-0.287354946339936,-0.162162469627642,0.0444943099929472,-1.53346320544403,-1.94896052340091,-0.471989030134522,0.174129509481688,"R4","XX","Bmp4ri",NA,"Exp_XX","Bmp4ri+NA"
"...140",-0.173698164544368,0.0958976568134053,0.216555055779261,-1.14553755178243,-0.829625640536777,-0.0524868118874766,-0.94102052071051,"R4","XX","Fgf4","Bmp4ri","Exp_XX","Fgf4+Bmp4ri"
"...141",-0.393663848486277,-1.43500639871944,-0.150901378965478,-1.23007106199409,-3.21388583128301,-0.142087630139294,-0.158383675627862,"R4","XX","Fgf4","Fgfri","Exp_XX","Fgf4+Fgfri"
"...142",-0.623145694609043,0.0102948910829748,0.0636031329406583,-2.04365793776321,0.186995601166926,-0.0749887670538983,-0.171334331115197,"R4","XX","Fgf4","Gsk3i","Exp_XX","Fgf4+Gsk3i"
"...143",-0.248465932946342,0.0423629093722146,-0.265461143228333,-1.45869543704206,-0.597356367733913,0.351943891321197,-0.182749499488383,"R4","XX","Fgf4","Igfri","Exp_XX","Fgf4+Igfri"
"...144",-0.613230225743962,0.109844334026923,-0.0143993790606163,-1.47334221300646,-0.771561885094833,-1.73517785675743,-0.200823830454233,"R4","XX","Fgf4","Jaki","Exp_XX","Fgf4+Jaki"
"...145",0.115808452650617,0.319735274612953,0.137603714384432,-0.488139214934538,-8.79630998705101,-0.185963559931168,0.0227881849485074,"R4","XX","Fgf4","Meki","Exp_XX","Fgf4+Meki"
"...146",-0.0415035521794995,0.211614415148076,0.275107238134374,-0.784271308944562,-0.84240347127408,-0.0528908890841266,-0.0843953779874872,"R4","XX","Fgf4",NA,"Exp_XX","Fgf4+NA"
"...147",-0.932690065040575,0.187156765242537,-0.629735528825292,-2.59619896079199,-0.357060078106481,0.147262010345819,-0.197699906504008,"R4","XX","Fgf4","Pi3ki","Exp_XX","Fgf4+Pi3ki"
"...148",-0.233199176293031,-1.38851738084424,-0.313959660919523,-1.15731471955878,-1.76933811032917,0.271312458408573,-0.668869234047516,"R4","XX","Fgfri","Igfri","Exp_XX","Fgfri+Igfri"
"...149",-0.195724470874368,-1.72357589666037,0.241940374199164,-1.66178730241957,-3.41653305508641,0.036683276641059,0.242244900678622,"R4","XX","Fgfri",NA,"Exp_XX","Fgfri+NA"
"...150",-1.23319917629303,-0.662046545689202,-0.629735528825292,-3.00058921587133,-1.4728808195917,0.0411453021559113,-0.55110857745737,"R4","XX","Fgfri","Pi3ki","Exp_XX","Fgfri+Pi3ki"
"...151",-0.825774861124062,-0.0708435786011441,-0.0244530437245396,-2.38761233898057,-0.758097327676414,0.00609512307635414,-0.180069734649747,"R4","XX","Gsk3i",NA,"Exp_XX","Gsk3i+NA"
"...152",-0.555127271180394,-0.746426835788411,-0.416140055726001,-2.25516204295692,-1.37390439619586,-0.00982872303581223,-0.369511844910539,"R4","XX","Igfri",NA,"Exp_XX","Igfri+NA"
"...153",-0.279492828566966,-0.0174400731298574,-0.139930261144475,-1.18116146151315,-0.330071626589957,-2.17813481621072,-0.647359797955049,"R4","XX","Jaki","Bmp4ri","Exp_XX","Jaki+Bmp4ri"
"...154",-0.715591943373639,0.344193920677698,0.0444943099929472,-1.71301262577474,-0.305518391294886,-2.18824881184596,-0.0555127736196939,"R4","XX","Jaki","Gsk3i","Exp_XX","Jaki+Gsk3i"
"...155",-0.481126689736617,0.00967513233889945,0.0540803588221555,-2.04365793776321,-1.38685997290142,-2.02563943467839,-0.118811589519183,"R4","XX","Jaki",NA,"Exp_XX","Jaki+NA"
"...156",-0.0282677250228054,0.297226826964368,-0.161956567474473,-0.466000237665289,-6.87722575820374,-0.138926892801292,0.499610530873816,"R4","XX","Meki","Igfri","Exp_XX","Meki+Igfri"
"...157",0.0171241777912052,0.459872807857302,0.16440377372815,-1.36013160255847,-6.46455292113249,0.0777390377639521,-0.133736345270718,"R4","XX","Meki",NA,"Exp_XX","Meki+NA"
"...158",-1.10261506648289,0.554975335398177,-0.862396285615565,-2.66178730241957,-6.12279463642158,-0.240178189472042,0.185529803177104,"R4","XX","Meki","Pi3ki","Exp_XX","Meki+Pi3ki"
"...159",-0.0216950710993184,-0.0403606882717745,0.110296368388695,-1.00058921587133,-1.08161479553494,-1.23825365913792,0.137678427816978,"R4","XX","NoLif",NA,"Exp_XX","NoLif+NA"
"...160",-1.42801535327705,0.0510229321308414,-0.7413808846542,-2.9587690401767,-0.74042751273734,0.102729963247703,-0.19793926623133,"R4","XX","Pi3ki",NA,"Exp_XX","Pi3ki+NA"
"...161",0.158094377431118,0.333505129253483,0.294682776471132,NA,-1.30125105796979,-0.216164182043473,0.127720486031474,"R5","XX","Activin","Bmp4ri","Exp_XX","Activin+Bmp4ri"
"...162",0.549442931854448,1.12674116692353,-0.263312676649757,NA,0.91483805417444,-0.335199281687849,1.00088046542655,"R5","XX","Activin","Fgf4","Exp_XX","Activin+Fgf4"
"...163",-0.739707244315649,-1.74955563475641,-0.123382415505282,NA,-3.42253878741281,-0.381828133269677,0.525155480349656,"R5","XX","Activin","Fgfri","Exp_XX","Activin+Fgfri"
"...164",-1.492880604669,-0.12584170725815,-0.102320799977453,NA,-1.92720851817573,-0.274658808714024,0.622559280746411,"R5","XX","Activin","Gsk3i","Exp_XX","Activin+Gsk3i"
"...165",-0.780797340337297,-0.169390927086497,-0.29710099010604,NA,-0.914479056709843,0.327464540086844,1.10134940101836,"R5","XX","Activin","Igfri","Exp_XX","Activin+Igfri"
"...166",-1.11691267006875,-0.117472843720994,-0.204418987596189,NA,-1.65851844299853,-1.65740669453989,0.888136027458008,"R5","XX","Activin","Jaki","Exp_XX","Activin+Jaki"
"...167",-0.998044863448045,0.438772148071199,-0.147835459229822,NA,-7.93127590802813,-0.278479958876694,0.435605805025811,"R5","XX","Activin","Meki","Exp_XX","Activin+Meki"
"...168",-0.235363203802777,0.248287332635103,0.213021001897957,NA,-0.781501208486208,-0.413762568239908,0.527993084110179,"R5","XX","Activin",NA,"Exp_XX","Activin+NA"
"...169",-1.97171475452882,0.0454297198916735,-0.914912370401203,NA,-0.402451212838504,0.073963733855992,0.905391308780494,"R5","XX","Activin","Pi3ki","Exp_XX","Activin+Pi3ki"
"...170",-0.0858496623834257,0.905522463651189,0.0124669574337143,NA,0.391690337161544,-0.438218450566358,-0.377615618586934,"R5","XX","Bmp4ri","Gsk3i","Exp_XX","Bmp4ri+Gsk3i"
"...171",-0.306167158810376,0.0618990202132262,0.00416763421522357,NA,-1.47002951637202,-0.097280532555611,-0.125832233202729,"R5","XX","Bmp4ri",NA,"Exp_XX","Bmp4ri+NA"
"...172",-0.0224778682107049,0.346335172049337,0.1033333385268,NA,-0.85173789079195,-0.314475135850054,-0.903424359030176,"R5","XX","Fgf4","Bmp4ri","Exp_XX","Fgf4+Bmp4ri"
"...173",-0.392904480789258,-2.48269444938211,-0.147835459229822,NA,-3.75555679507575,-0.0431538462716161,-0.627645235921708,"R5","XX","Fgf4","Fgfri","Exp_XX","Fgf4+Fgfri"
