"","Cell_line","Replicate","Treatment","log2Treatment","Treatment_Fctr","Analyte","Signal"
"70","XX","R1",111,6.8073549220576,"111","FCoCntrl_M2_cRaf",0.548476839819643
"71","XX","R1",333,8.38370429247405,"333","FCoCntrl_M2_cRaf",0.49112308984232
"72","XX","R1",1000,9.96722625883599,"1000","FCoCntrl_M2_cRaf",0.646684250318468
"73","XX","R2",0,0,"0","FCoCntrl_M2_cRaf",1.00486008265609
"74","XX","R2",0.4,0.485426827170242,"0.4","FCoCntrl_M2_cRaf",1.08252135471297
"75","XX","R2",1.3,1.20163386116965,"1.3","FCoCntrl_M2_cRaf",0.935931602492231
"76","XX","R2",4,2.32192809488736,"4","FCoCntrl_M2_cRaf",0.830042689853792
"77","XX","R2",12,3.70043971814109,"12","FCoCntrl_M2_cRaf",0.785697418533387
"78","XX","R2",37,5.24792751344359,"37","FCoCntrl_M2_cRaf",0.745140466217795
"79","XX","R2",111,6.8073549220576,"111","FCoCntrl_M2_cRaf",0.71615692327542
"80","XX","R2",333,8.38370429247405,"333","FCoCntrl_M2_cRaf",0.683759584221593
"81","XX","R2",1000,9.96722625883599,"1000","FCoCntrl_M2_cRaf",0.626006759663838
"82","XO","R2",0,0,"0","FCoCntrl_M2_cRaf",0.882744881319311
"83","XO","R2",0.4,0.485426827170242,"0.4","FCoCntrl_M2_cRaf",0.946911350601344
"84","XO","R2",1.3,1.20163386116965,"1.3","FCoCntrl_M2_cRaf",0.802628427461599
"85","XO","R2",4,2.32192809488736,"4","FCoCntrl_M2_cRaf",0.77940774411423
"86","XO","R2",12,3.70043971814109,"12","FCoCntrl_M2_cRaf",0.66137208526957
"87","XO","R2",37,5.24792751344359,"37","FCoCntrl_M2_cRaf",0.458795891699641
"88","XO","R2",111,6.8073549220576,"111","FCoCntrl_M2_cRaf",0.369230803069397
"89","XO","R2",333,8.38370429247405,"333","FCoCntrl_M2_cRaf",0.319980546147893
"90","XO","R2",1000,9.96722625883599,"1000","FCoCntrl_M2_cRaf",0.28889272153332
"91","XO","R3",0,0,"0","FCoCntrl_M2_cRaf",1.08754848821793
"92","XO","R3",0.4,0.485426827170242,"0.4","FCoCntrl_M2_cRaf",1.07828196519593
"93","XO","R3",1.3,1.20163386116965,"1.3","FCoCntrl_M2_cRaf",0.942489522550339
"94","XO","R3",4,2.32192809488736,"4","FCoCntrl_M2_cRaf",0.800594481275175
"95","XO","R3",12,3.70043971814109,"12","FCoCntrl_M2_cRaf",0.689629135122368
"96","XO","R3",37,5.24792751344359,"37","FCoCntrl_M2_cRaf",0.538826278820029
"97","XO","R3",111,6.8073549220576,"111","FCoCntrl_M2_cRaf",0.454108818154078
"98","XO","R3",333,8.38370429247405,"333","FCoCntrl_M2_cRaf",0.373093965407277
"99","XO","R3",1000,9.96722625883599,"1000","FCoCntrl_M2_cRaf",0.323339652899767
"100","XX","R3",0,0,"0","FCoCntrl_M2_cRaf",1.09908948629531
"101","XX","R3",0.4,0.485426827170242,"0.4","FCoCntrl_M2_cRaf",1.04421576767465
"102","XX","R3",1.3,1.20163386116965,"1.3","FCoCntrl_M2_cRaf",0.983874336236615
"103","XX","R3",4,2.32192809488736,"4","FCoCntrl_M2_cRaf",0.919300786249486
"104","XX","R3",12,3.70043971814109,"12","FCoCntrl_M2_cRaf",0.731990506638055
"105","XX","R3",37,5.24792751344359,"37","FCoCntrl_M2_cRaf",0.635644777372697
"106","XX","R3",111,6.8073549220576,"111","FCoCntrl_M2_cRaf",0.529456788669078
"107","XX","R3",333,8.38370429247405,"333","FCoCntrl_M2_cRaf",0.501393311022966
"108","XX","R3",1000,9.96722625883599,"1000","FCoCntrl_M2_cRaf",0.508999907497346
