"","Cell_line","Replicate","Treatment","log2Treatment","Treatment_Fctr","Analyte","Signal"
"73","XX","R2",0,0,"0","FCoXX_M2_cRaf",1.00486008265609
"74","XX","R2",0.4,0.485426827170242,"0.4","FCoXX_M2_cRaf",1.08252135471297
"75","XX","R2",1.3,1.20163386116965,"1.3","FCoXX_M2_cRaf",0.935931602492231
"76","XX","R2",4,2.32192809488736,"4","FCoXX_M2_cRaf",0.830042689853792
"77","XX","R2",12,3.70043971814109,"12","FCoXX_M2_cRaf",0.785697418533387
"78","XX","R2",37,5.24792751344359,"37","FCoXX_M2_cRaf",0.745140466217795
"79","XX","R2",111,6.8073549220576,"111","FCoXX_M2_cRaf",0.71615692327542
"80","XX","R2",333,8.38370429247405,"333","FCoXX_M2_cRaf",0.683759584221593
"81","XX","R2",1000,9.96722625883599,"1000","FCoXX_M2_cRaf",0.626006759663838
"82","XO","R2",0,0,"0","FCoXX_M2_cRaf",1.25994140679992
"83","XO","R2",0.4,0.485426827170242,"0.4","FCoXX_M2_cRaf",1.35152618207016
"84","XO","R2",1.3,1.20163386116965,"1.3","FCoXX_M2_cRaf",1.1455912250912
"85","XO","R2",4,2.32192809488736,"4","FCoXX_M2_cRaf",1.11244835328002
"86","XO","R2",12,3.70043971814109,"12","FCoXX_M2_cRaf",0.943976105856699
"87","XO","R2",37,5.24792751344359,"37","FCoXX_M2_cRaf",0.654839187918181
"88","XO","R2",111,6.8073549220576,"111","FCoXX_M2_cRaf",0.527002973676652
"89","XO","R2",333,8.38370429247405,"333","FCoXX_M2_cRaf",0.456708102186491
"90","XO","R2",1000,9.96722625883599,"1000","FCoXX_M2_cRaf",0.412336462873563
"91","XO","R3",0,0,"0","FCoXX_M2_cRaf",1.55225751086828
"92","XO","R3",0.4,0.485426827170242,"0.4","FCoXX_M2_cRaf",1.53903140636225
"93","XO","R3",1.3,1.20163386116965,"1.3","FCoXX_M2_cRaf",1.34521490870783
"94","XO","R3",4,2.32192809488736,"4","FCoXX_M2_cRaf",1.14268817453411
"95","XO","R3",12,3.70043971814109,"12","FCoXX_M2_cRaf",0.984307381513987
"96","XO","R3",37,5.24792751344359,"37","FCoXX_M2_cRaf",0.769066526608043
"97","XO","R3",111,6.8073549220576,"111","FCoXX_M2_cRaf",0.648149329770325
"98","XO","R3",333,8.38370429247405,"333","FCoXX_M2_cRaf",0.53251686369594
"99","XO","R3",1000,9.96722625883599,"1000","FCoXX_M2_cRaf",0.461502553874755
"100","XX","R3",0,0,"0","FCoXX_M2_cRaf",1.09908948629531
"101","XX","R3",0.4,0.485426827170242,"0.4","FCoXX_M2_cRaf",1.04421576767465
"102","XX","R3",1.3,1.20163386116965,"1.3","FCoXX_M2_cRaf",0.983874336236615
"103","XX","R3",4,2.32192809488736,"4","FCoXX_M2_cRaf",0.919300786249486
"104","XX","R3",12,3.70043971814109,"12","FCoXX_M2_cRaf",0.731990506638055
"105","XX","R3",37,5.24792751344359,"37","FCoXX_M2_cRaf",0.635644777372697
"106","XX","R3",111,6.8073549220576,"111","FCoXX_M2_cRaf",0.529456788669078
"107","XX","R3",333,8.38370429247405,"333","FCoXX_M2_cRaf",0.501393311022966
"108","XX","R3",1000,9.96722625883599,"1000","FCoXX_M2_cRaf",0.508999907497346
