"","Model_iteration","Links","res_p_01_XX","res_p_01_XO"
"1","Init","Init Network",2056.3,1603.72
"2","1","Jak->Fgfr",1515,1063.56
"3","2","Gsk3->Igfr",970.96,970.63
"4","3","Erk->Mek",932.14,720.06
"5","4","Bmp4r->Fgfr",798.29,611.48
"6","5","Jak->Gsk3",737.94,547.33
"7","6","Bmp4r->Smad2",691.87,465.99
"8","7","Actr->Ras",645.08,422.58
"9","8","Gsk3->Stat3",626.84,388.76
"10","9","Lifr->Gsk3",603.7,363.04
"11","10","Jak->Bmp4r",576.52,341.66
