"","Model_iteration","Links","res_p_001_XX","res_p_001_XO"
"1","Init","Init Network",2056.3,1603.72
"2","1","Jak->Fgfr",1515,1063.56
"3","2","Gsk3->Igfr",970.8,970.63
"4","3","Bmp4r->Fgfr",838.79,867.08
"5","4","Erk->Raf",798.31,611.48
"6","5","Jak->Gsk3",737.95,547.33
"7","6","Bmp4r->Smad2",691.88,465.99
"8","7","Actr->Bmp4r",651.14,421.3
