"","Cell_line","Replicate","Treatment","Exp","phosP","totalP","Gel","Analyte","Well_no","log2Treatment","Treatment_Fctr","Mean_Com_phosP","Mean_Com_totalP","phosP_Norm_oCom","totalP_Norm_oCom","phosP_by_total","phosP_Mean_Rep","totalP_Mean_Rep","phosP_Norm_oMeanRep","totalP_Norm_oMeanRep","Norm_phosP_by_total_M1","Norm_phosP_by_total_M2","FCoXX_M1","FCoXX_M2","FCoCntrl_M1","FCoCntrl_M2"
"1","XX","R1",0,"ActDR",29.03369140625,6664.671875,"Gel11","Smad2",2,0,"0",43.369140625,8063.009765625,0.669455077685206,0.826573707427898,0.809915766336668,1.36891372063349,0.77304828433409,0.489041104340311,1.06923943067788,0.44445141551508,0.45737286739441,0.949786069172014,0.954947580079795,0.949786069172014,0.954947580079795
"2","XX","R1",1.11,"ActDR",36.90625,7541.58203125,"Gel11","Smad2",3,1.07724299893246,"1.11",43.369140625,8063.009765625,0.850979509119568,0.935330881453474,0.90981654299404,1.36891372063349,0.77304828433409,0.621645832233868,1.20992556404051,0.499273217289918,0.513788493035803,1.06693944476045,1.07273761316997,1.06693944476045,1.07273761316997
"3","XX","R1",3.33,"ActDR",54.16845703125,6818.34765625,"Gel11","Smad2",4,2.114367024952,"3.33",43.369140625,8063.009765625,1.24900923215492,0.845633064382315,1.47701087476664,1.36891372063349,0.77304828433409,0.912409024271389,1.0938942385866,0.810528207137435,0.834092540290089,1.73208673195009,1.7414995722205,1.73208673195009,1.7414995722205
"4","XX","R1",10,"ActDR",68.9267578125,6393.89453125,"Gel11","Smad2",5,3.4594316186373,"10",43.369140625,8063.009765625,1.58930421076334,0.792991043928666,2.00418935741008,1.36891372063349,0.77304828433409,1.16099662587052,1.02579756012492,1.09982399884643,1.13179897379472,2.35030753909244,2.36308003428206,2.35030753909244,2.36308003428206
"5","XX","R1",30,"ActDR",63.1591796875,6210.89453125,"Gel11","Smad2",6,4.95419631038687,"30",43.369140625,8063.009765625,1.45631614501238,0.770294804519385,1.89059582963309,1.36891372063349,0.77304828433409,1.06384801544574,0.996438152867674,1.03748812848526,1.06765082447322,2.21709671061495,2.22914528579086,2.21709671061495,2.22914528579086
"6","XX","R1",90,"ActDR",77.57666015625,6679,"Gel11","Smad2",7,6.5077946401987,"90",43.369140625,8063.009765625,1.78875253321324,0.828350726855691,2.15941445479635,1.36891372063349,0.77304828433409,1.30669486780033,1.07153814792984,1.1850057141856,1.2194571610211,2.53233959873513,2.54610132770266,2.53233959873513,2.54610132770266
"7","XO","R1",0,"ActDR",18.61474609375,6517.46484375,"Gel11","Smad2",8,0,"0",43.369140625,8063.009765625,0.429216392704346,0.808316625329649,0.531000327414152,1.36891372063349,0.77304828433409,0.313545248495075,1.04562242968554,0.291393076869784,0.299864692639934,0.622702674359467,0.62608668550717,0.834596734091826,0.839699399036842
"8","XO","R1",1.11,"ActDR",25.45068359375,5597.96484375,"Gel11","Smad2",9,1.07724299893246,"1.11",43.369140625,8063.009765625,0.586838549876154,0.694277324035472,0.845250924321088,1.36891372063349,0.77304828433409,0.428689216150586,0.898103440761825,0.463842025793799,0.477327217215588,0.991223515139259,0.996610213419536,1.32851831629149,1.33664078258502
"9","XO","R1",3.33,"ActDR",79.36669921875,5259.98046875,"Gel11","Smad2",10,2.114367024952,"3.33",43.369140625,8063.009765625,1.83002702094123,0.652359431731666,2.80524344698058,1.36891372063349,0.77304828433409,1.33684613818784,0.843879282771598,1.53941245830329,1.58416750532987,3.28970154344507,3.30757907497661,4.40912537772587,4.4360824560178
"10","XO","R1",10,"ActDR",76.9755859375,5459.7265625,"Gel11","Smad2",11,3.4594316186373,"10",43.369140625,8063.009765625,1.77489304210763,0.677132574708818,2.62118986502883,1.36891372063349,0.77304828433409,1.29657042321577,0.875925331484444,1.43841075117629,1.48022939468876,3.07386239648086,3.09056697323074,4.11984021072254,4.14502862012268
"11","XO","R1",30,"ActDR",88.10205078125,5783.2265625,"Gel11","Smad2",12,4.95419631038687,"30",43.369140625,8063.009765625,2.03144562035578,0.717254068965116,2.83225388081357,1.36891372063349,0.77304828433409,1.48398367971335,0.927825704422803,1.55423477199283,1.5994207453398,3.32137660749884,3.33942627378148,4.45157887294912,4.47879550888491
"12","XO","R1",90,"ActDR",94.142578125,5870.396484375,"Gel11","Smad2",13,6.5077946401987,"90",43.369140625,8063.009765625,2.17072731366809,0.728065158670927,2.9815014326887,1.36891372063349,0.77304828433409,1.58572982427523,0.941810716646359,1.63613623440428,1.68370331346596,3.49639881538867,3.51539962115887,4.68615786082426,4.71480869597193
"13","XX","R3",0,"ActDR",42.20751953125,7713.76953125,"Gel11","Smad2",14,0,"0",43.369140625,8063.009765625,0.973215492006305,0.956686120378532,1.01727773746862,2.07955567637487,0.96787558423006,0.467992034578673,0.988439150616214,0.465847162604017,0.47346570022739,0.995508462700787,0.988547762482462,0.995508462700787,0.988547762482462
"14","XX","R3",1.11,"ActDR",47.34130859375,8071.58984375,"Gel11","Smad2",15,1.07724299893246,"1.11",43.369140625,8063.009765625,1.09158973204233,1.00106412845506,1.09042937511604,2.07955567637487,0.96787558423006,0.524914886599822,1.03429009344357,0.49934586367919,0.50751224431839,1.0670946890146,1.05963345034803,1.0670946890146,1.05963345034803
"15","XX","R3",3.33,"ActDR",64.63671875,7811.734375,"Gel11","Smad2",16,2.114367024952,"3.33",43.369140625,8063.009765625,1.49038504841252,0.968836030473848,1.53832537347273,2.07955567637487,0.96787558423006,0.716684369331525,1.00099232407495,0.704453153744694,0.715973891202249,1.50540591942001,1.49487996237937,1.50540591942001,1.49487996237937
"16","XX","R3",10,"ActDR",87.20166015625,7753.51171875,"Gel11","Smad2",17,3.4594316186373,"10",43.369140625,8063.009765625,2.01068453051115,0.961615072302841,2.09094531525596,2.07955567637487,0.96787558423006,0.96688179756563,0.993531697638392,0.957517211274072,0.973176598053078,2.04620004912482,2.03189280246411,2.04620004912482,2.03189280246411
"17","XX","R3",30,"ActDR",92.2646484375,7013.62890625,"Gel11","Smad2",18,4.95419631038687,"30",43.369140625,8063.009765625,2.12742625534789,0.869852463301133,2.44573228806435,2.07955567637487,0.96787558423006,1.02301961881418,0.898723428376486,1.11998661222934,1.13830304909513,2.39339474421923,2.37665987561407,2.39339474421923,2.37665987561407
"18","XX","R3",90,"ActDR",110.18310546875,7428.521484375,"Gel11","Smad2",19,6.5077946401987,"90",43.369140625,8063.009765625,2.54058770547174,0.921308754461019,2.75758554683226,2.07955567637487,0.96787558423006,1.22169737234473,0.951887587074444,1.26279515938909,1.28344710965244,2.69857448696755,2.6797057693982,2.69857448696755,2.6797057693982
"19","XX","R2",0,"ActDR",89.03125,11186.609375,"Gel12","Smad2",2,0,"0",72.10009765625,10843.025390625,1.23482842456708,1.03168709580557,1.19690207388209,2.4265869119131,1.02588696639011,0.508874591923664,1.00565377044986,0.493548340490274,0.506013706582168,1.0547054681272,1.05650465743774,1.0547054681272,1.05650465743774
"20","XX","R2",1.11,"ActDR",94.80029296875,11762.166015625,"Gel12","Smad2",3,1.07724299893246,"1.11",72.10009765625,10843.025390625,1.31484278177718,1.08476791226503,1.21209593951921,2.4265869119131,1.02588696639011,0.541848625047009,1.05739515931479,0.499813604236131,0.512437209754333,1.06809424363286,1.06991627243983,1.06809424363286,1.06991627243983
"21","XX","R2",3.33,"ActDR",132.53564453125,11404.3828125,"Gel12","Smad2",4,2.114367024952,"3.33",72.10009765625,10843.025390625,1.83821726793127,1.05177129091299,1.74773478208899,2.4265869119131,1.02588696639011,0.757532012930063,1.0252311661722,0.720686863311533,0.738888982236445,1.54009711548628,1.54272431933714,1.54009711548628,1.54272431933714
"22","XX","R2",10,"ActDR",172.10302734375,10758.302734375,"Gel12","Smad2",5,3.4594316186373,"10",72.10009765625,10843.025390625,2.3870013070479,0.992186437530318,2.40579916914553,2.4265869119131,1.02588696639011,0.983686714590417,0.967149861569669,0.992042885875747,1.01709854250913,2.11998090260108,2.12359731219957,2.11998090260108,2.12359731219957
"23","XX","R2",30,"ActDR",205.630859375,11137.451171875,"Gel12","Smad2",6,4.95419631038687,"30",72.10009765625,10843.025390625,2.85201915197649,1.02715347153061,2.77662416671441,2.4265869119131,1.02588696639011,1.17532124564538,1.00123454647734,1.14495436138921,1.17387204604609,2.44675045308369,2.45092428871248,2.44675045308369,2.45092428871248
"24","XX","R2",90,"ActDR",219.27587890625,10914.6015625,"Gel12","Smad2",7,6.5077946401987,"90",72.10009765625,10843.025390625,3.04127020675737,1.00660112554351,3.02132605416594,2.4265869119131,1.02588696639011,1.25331188090834,0.981200813073533,1.24585836439993,1.27732454377248,2.66238080780358,2.66692248055939,2.66238080780358,2.66692248055939
"25","XO","R2",0,"ActDR",69.5068359375,12516.791015625,"Gel12","Smad2",8,0,"0",72.10009765625,10843.025390625,0.964032479801708,1.1543633409221,0.835120490773421,2.4265869119131,1.02588696639011,0.397279188752268,1.12523443492422,0.344365960528237,0.353063482970126,0.735904939413253,0.737160296800296,0.986319610186537,0.988669895951558
"26","XO","R2",1.11,"ActDR",83.3388671875,11529.302734375,"Gel12","Smad2",9,1.07724299893246,"1.11",72.10009765625,10843.025390625,1.15587731357637,1.06329205355761,1.08707415776219,2.4265869119131,1.02588696639011,0.476338724115628,1.03646121687181,0.448260269792333,0.459581811998031,0.957925534152341,0.959559629578435,1.28388965589249,1.28694901672334
"27","XO","R2",3.33,"ActDR",185.513671875,11088.3359375,"Gel12","Smad2",10,2.114367024952,"3.33",72.10009765625,10843.025390625,2.57300167275042,1.02262381005647,2.51607839309778,2.4265869119131,1.02588696639011,1.06033773615052,0.996819185309356,1.03751705553414,1.06372123628565,2.21715852728847,2.22094070917965,2.97161605696043,2.97869707496479
"28","XO","R2",10,"ActDR",281.95263671875,10740.2109375,"Gel12","Smad2",11,3.4594316186373,"10",72.10009765625,10843.025390625,3.91057218900048,0.990517918254264,3.94800751902869,2.4265869119131,1.02588696639011,1.61155249366998,0.965523445277506,1.62797993401396,1.66909721514509,3.47896892267985,3.48490358774659,4.66279690200823,4.67390780872729
"29","XO","R2",30,"ActDR",278.53466796875,10774.892578125,"Gel12","Smad2",12,4.95419631038687,"30",72.10009765625,10843.025390625,3.8631663066077,0.993716438904689,3.88759424254451,2.4265869119131,1.02588696639011,1.59201646050337,0.968641255285056,1.60306822820027,1.64355632368236,3.4257329776132,3.43157682913418,4.59144576169938,4.60238664688825
"30","XO","R2",90,"ActDR",287.26220703125,9671.57421875,"Gel12","Smad2",13,6.5077946401987,"90",72.10009765625,10843.025390625,3.9842138411632,0.891962701398094,4.46679422235729,2.4265869119131,1.02588696639011,1.64190032576335,0.869455145274665,1.84190413222825,1.88842441693144,3.93612175475545,3.9428362626443,5.2755102824728,5.28808121444258
"31","XO","R3",0,"ActDR",67.5244140625,11296.1953125,"Gel12","Smad2",14,0,"0",72.10009765625,10843.025390625,0.936537068013897,1.0417936789364,0.898965972773072,2.07955567637487,0.96787558423006,0.450354409191144,1.0763714840117,0.411668055113429,0.41840053910816,0.879728515245566,0.873577360637073,1.17908365572164,1.1716307050116
"32","XO","R3",1.11,"ActDR",90.5205078125,11586.5234375,"Gel12","Smad2",15,1.07724299893246,"1.11",72.10009765625,10843.025390625,1.25548384475251,1.06856924336983,1.17492043921574,2.07955567637487,0.96787558423006,0.603726968705687,1.10403574672242,0.538037285919668,0.546836432151757,1.1497776832804,1.14173831639312,1.54102549886197,1.53128472514317
"33","XO","R3",3.33,"ActDR",161.63330078125,10947.556640625,"Gel12","Smad2",16,2.114367024952,"3.33",72.10009765625,10843.025390625,2.24179031700991,1.00964041365156,2.22038488822178,2.07955567637487,0.96787558423006,1.07801408852772,1.04315103108498,1.01679213254076,1.03342091068681,2.17286967488159,2.15767674083128,2.91225653740565,2.89384825541231
"34","XO","R3",10,"ActDR",247.3798828125,10626.19921875,"Gel12","Smad2",17,3.4594316186373,"10",72.10009765625,10843.025390625,3.43106168859753,0.980003166638116,3.50107204282587,2.07955567637487,0.96787558423006,1.6499013359328,1.01253010470112,1.60326370778658,1.62948373413531,3.42615071458378,3.40219470725631,4.59200564673876,4.56297972344716
"35","XO","R3",30,"ActDR",235.720703125,9841.51171875,"Gel12","Smad2",18,4.95419631038687,"30",72.10009765625,10843.025390625,3.26935345148685,0.907635218419675,3.60205662488425,2.07955567637487,0.96787558423006,1.57214038009603,0.937760217540454,1.64950809050129,1.67648440474413,3.52497427312501,3.50032728104826,4.72445701174162,4.69459386753693
