"","Cell_line","Replicate","Treatment","Exp","phosP","totalP","Gel","Analyte","Well_no","log2Treatment","Treatment_Fctr","Mean_Com_phosP","Mean_Com_totalP","phosP_Norm_oCom","totalP_Norm_oCom","phosP_by_total","phosP_Mean_Rep","totalP_Mean_Rep","phosP_Norm_oMeanRep","totalP_Norm_oMeanRep","Norm_phosP_by_total_M1","Norm_phosP_by_total_M2","FCoXX_M1","FCoXX_M2","FCoCntrl_M1","FCoCntrl_M2"
"1","XX","R1",0,"SBDR",75.05029296875,9521.22265625,"Gel13","Smad2",2,0,"0",97.767333984375,10092.533203125,0.767641807444032,0.943392750325746,0.813703314106423,0.559899364472912,0.969103022029681,1.37103532554763,0.973470032473856,1.40887239033664,1.40840013540371,0.979085778478731,0.977640580531052,0.979085778478731,0.977640580531052
"2","XX","R1",0.2,"SBDR",60.90478515625,9392.8203125,"Gel13","Smad2",3,0.263034405833794,"0.2",97.767333984375,10092.533203125,0.622956387109663,0.930670241401005,0.669363174406309,0.559899364472912,0.969103022029681,1.11262206503148,0.960341904054553,1.1589571766274,1.15856869343512,0.80540899039878,0.804220151335287,0.80540899039878,0.804220151335287
"3","XX","R1",0.6,"SBDR",54.140625,9219.9765625,"Gel13","Smad2",4,0.678071905112638,"0.6",97.767333984375,10092.533203125,0.553770086526576,0.913544337872,0.606177569680441,0.559899364472912,0.969103022029681,0.989052893546135,0.942669991843262,1.04955556498132,1.04920375327974,0.729381123829731,0.728304507126267,0.729381123829731,0.728304507126267
"4","XX","R1",1.77,"SBDR",63.24755859375,10786.4140625,"Gel13","Smad2",5,1.46988597627446,"1.77",97.767333984375,10092.533203125,0.646919129490205,1.06875190256101,0.605303371100456,0.559899364472912,0.969103022029681,1.15542036754982,1.10282588978272,1.04804194911954,1.04769064478298,0.728329247325861,0.727254183264462,0.728329247325861,0.727254183264462
"5","XX","R1",5.33,"SBDR",59.921875,10217.5859375,"Gel13","Smad2",6,2.66220549965362,"5.33",97.767333984375,10092.533203125,0.612902823038793,1.01239061907037,0.605401523377994,0.559899364472912,0.969103022029681,1.09466604523793,1.04466769379176,1.04821189316607,1.04786053186415,0.728447348723996,0.72737211033681,0.728447348723996,0.72737211033681
"6","XX","R1",16,"SBDR",56.486328125,10185.32421875,"Gel13","Smad2",7,4.08746284125034,"16",97.767333984375,10092.533203125,0.577762794820891,1.00919402629226,0.572499221922242,0.559899364472912,0.969103022029681,1.0319047162427,1.04136918712585,0.991243778011655,0.990911512458642,0.68885776505624,0.687840963617403,0.68885776505624,0.687840963617403
"7","XO","R1",0,"SBDR",57.2021484375,10147.453125,"Gel13","Smad2",8,0,"0",97.767333984375,10092.533203125,0.585084466419448,1.00544163895919,0.581917879415772,0.559899364472912,0.969103022029681,1.04498147978833,1.03749716604267,1.0075515480141,1.00721381608607,0.700190733036596,0.699157203357572,0.916923597904392,0.915418977001803
"8","XO","R1",0.2,"SBDR",49.7626953125,9905.2890625,"Gel13","Smad2",9,0.263034405833794,"0.2",97.767333984375,10092.533203125,0.508991022711666,0.981447260379879,0.518612709270445,0.559899364472912,0.969103022029681,0.909075907222771,1.01273779780848,0.897942916910931,0.897641925866669,0.624018999778349,0.623097904816482,0.817174120480053,0.815833182952063
"9","XO","R1",0.6,"SBDR",43.00537109375,9259.7421875,"Gel13","Smad2",10,0.678071905112638,"0.6",97.767333984375,10092.533203125,0.439874642594049,0.917484441332614,0.479435533484521,0.559899364472912,0.969103022029681,0.785631616153282,0.946735713826423,0.830110280200132,0.829832026699398,0.576879194657753,0.576027681290381,0.755442941136624,0.754203301059146
"10","XO","R1",1.77,"SBDR",48.005859375,10266.23046875,"Gel13","Smad2",11,1.46988597627446,"1.77",97.767333984375,10092.533203125,0.49102146308574,1.01721047254729,0.482713731658826,0.559899364472912,0.969103022029681,0.876981640348862,1.0496412140134,0.835786259169079,0.835506103076537,0.580823675595527,0.579966339903002,0.760608373186323,0.759360256920588
"11","XO","R1",5.33,"SBDR",47.6650390625,9521.2265625,"Gel13","Smad2",12,2.66220549965362,"5.33",97.767333984375,10092.533203125,0.487535428450138,0.943393137369308,0.516789246325929,0.559899364472912,0.969103022029681,0.87075545961568,0.973470431857155,0.89478571384589,0.894485781098129,0.621824924117591,0.620907067762301,0.814300903720654,0.812964680982428
"12","XO","R1",16,"SBDR",41.48583984375,8945.16796875,"Gel13","Smad2",13,4.08746284125034,"16",97.767333984375,10092.533203125,0.424332321983743,0.886315436245507,0.478759936508885,0.559899364472912,0.969103022029681,0.757872483715371,0.914572977379862,0.828940529617251,0.828662668217665,0.576066284866971,0.57521597141036,0.754378408095887,0.753140514858242
"13","XX","R3",0,"SBDR",98.59521484375,9719.49609375,"Gel13","Smad2",14,0,"0",97.767333984375,10092.533203125,1.00846786780038,0.963038307443022,1.04717316020167,0.799210458589479,1.06622865987408,1.26183016871453,0.903219303406037,1.39047955759144,1.39703631660237,0.966303811076804,0.969752388723395,0.966303811076804,0.969752388723395
"14","XX","R3",0.2,"SBDR",102.92578125,11006.37109375,"Gel13","Smad2",15,0.263034405833794,"0.2",97.767333984375,10092.533203125,1.05276248267596,1.09054593849065,0.96535363208359,0.799210458589479,1.06622865987408,1.31725313571843,1.02280681389622,1.28183622563471,1.28788068071287,0.890802905547692,0.893982033015034,0.890802905547692,0.893982033015034
