"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"Unknown10","NaN","NaN","49","NaN","279","NaN","NaN","NaN","NaN","NaN","NaN","269","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","48","NaN","39","NaN","NaN","NaN","213","NaN","NaN","NaN","176","NaN","35","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","227","NaN","NaN","NaN"
"Unknown11","NaN","NaN","48","NaN","84","NaN","NaN","NaN","NaN","NaN","NaN","232","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","47","NaN","35.5","NaN","NaN","NaN","110","NaN","NaN","NaN","163","NaN","30","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN"
"Unknown12","NaN","NaN","54","NaN","272","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","49.5","NaN","36","NaN","NaN","NaN","220","NaN","NaN","NaN","168","NaN","34","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","238","NaN","NaN","NaN"
"Unknown13","NaN","NaN","51","NaN","316","NaN","NaN","NaN","NaN","NaN","NaN","312","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","50","NaN","40","NaN","NaN","NaN","234","NaN","NaN","NaN","165","NaN","35.5","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","181","NaN","NaN","NaN"
"Unknown14","NaN","NaN","49","NaN","223.5","NaN","NaN","NaN","NaN","NaN","NaN","265","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","45","NaN","37","NaN","NaN","NaN","207","NaN","NaN","NaN","168","NaN","33","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96","NaN","NaN","NaN"
"Unknown15","NaN","NaN","48","NaN","263","NaN","NaN","NaN","NaN","NaN","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","50","NaN","36","NaN","NaN","NaN","234.5","NaN","NaN","NaN","158.5","NaN","34","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","132","NaN","NaN","NaN"
"Unknown16","NaN","NaN","48","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","292.5","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","50","NaN","38","NaN","NaN","NaN","210","NaN","NaN","NaN","162.5","NaN","34","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","105.5","NaN","NaN","NaN"
"Unknown17","NaN","NaN","59","NaN","238","NaN","NaN","NaN","NaN","NaN","NaN","131","NaN","NaN","NaN","NaN","NaN","NaN","47.5","NaN","63","NaN","45","NaN","NaN","NaN","243","NaN","NaN","NaN","178","NaN","39","NaN","33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","269","NaN","NaN","NaN"
"Unknown18","NaN","NaN","48","NaN","187","NaN","NaN","NaN","NaN","NaN","NaN","411.5","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","46","NaN","38","NaN","NaN","NaN","154","NaN","NaN","NaN","161","NaN","30","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","69","NaN","NaN","NaN"
"Unknown19","NaN","NaN","49","NaN","235.5","NaN","NaN","NaN","NaN","NaN","NaN","488","NaN","NaN","NaN","NaN","NaN","NaN","42.5","NaN","52","NaN","36","NaN","NaN","NaN","207.5","NaN","NaN","NaN","142","NaN","35","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN"
"Unknown20","NaN","NaN","47.5","NaN","109","NaN","NaN","NaN","NaN","NaN","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","39.5","NaN","42","NaN","41","NaN","NaN","NaN","120","NaN","NaN","NaN","149","NaN","32","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48.5","NaN","NaN","NaN"
"Unknown21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown23","NaN","NaN","46","NaN","162.5","NaN","NaN","NaN","NaN","NaN","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","47","NaN","39.5","NaN","NaN","NaN","200","NaN","NaN","NaN","168","NaN","34","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN"
"Unknown24","NaN","NaN","47","NaN","114","NaN","NaN","NaN","NaN","NaN","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","51.5","NaN","41","NaN","NaN","NaN","161","NaN","NaN","NaN","141","NaN","34","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66.5","NaN","NaN","NaN"
"Unknown25","NaN","NaN","50","NaN","241.5","NaN","NaN","NaN","NaN","NaN","NaN","2298.5","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","46","NaN","35","NaN","NaN","NaN","223","NaN","NaN","NaN","163","NaN","32","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","145","NaN","NaN","NaN"
"Unknown26","NaN","NaN","47","NaN","79","NaN","NaN","NaN","NaN","NaN","NaN","317.5","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","50","NaN","37","NaN","NaN","NaN","129","NaN","NaN","NaN","151","NaN","31","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","NaN","NaN"
"Unknown27","NaN","NaN","68","NaN","233","NaN","NaN","NaN","NaN","NaN","NaN","243","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","43","NaN","38","NaN","NaN","NaN","215","NaN","NaN","NaN","139","NaN","33","NaN","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","149","NaN","NaN","NaN"
"Unknown28","NaN","NaN","43","NaN","150","NaN","NaN","NaN","NaN","NaN","NaN","236","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","46","NaN","32","NaN","NaN","NaN","140","NaN","NaN","NaN","162","NaN","33","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48","NaN","NaN","NaN"
"Unknown29","NaN","NaN","51","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","44.5","NaN","36","NaN","NaN","NaN","207","NaN","NaN","NaN","145.5","NaN","30","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","163.5","NaN","NaN","NaN"
"Unknown30","NaN","NaN","45.5","NaN","216","NaN","NaN","NaN","NaN","NaN","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","43","NaN","35","NaN","NaN","NaN","218.5","NaN","NaN","NaN","155","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","94","NaN","NaN","NaN"
"Unknown31","NaN","NaN","52","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","232","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","48","NaN","39","NaN","NaN","NaN","145","NaN","NaN","NaN","152.5","NaN","32","NaN","27.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","78","NaN","NaN","NaN"
"Unknown32","NaN","NaN","48","NaN","218","NaN","NaN","NaN","NaN","NaN","NaN","111","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","47","NaN","32","NaN","NaN","NaN","192","NaN","NaN","NaN","161","NaN","35","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","109","NaN","NaN","NaN"
"Unknown33","NaN","NaN","61","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","501.5","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","46","NaN","36","NaN","NaN","NaN","198","NaN","NaN","NaN","151","NaN","32","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","NaN","NaN","NaN"
"Unknown34","NaN","NaN","47","NaN","117.5","NaN","NaN","NaN","NaN","NaN","NaN","236","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","42","NaN","33","NaN","NaN","NaN","133","NaN","NaN","NaN","144","NaN","31","NaN","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44","NaN","NaN","NaN"
"Unknown35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown37","NaN","NaN","69","NaN","156","NaN","NaN","NaN","NaN","NaN","NaN","221","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","75","NaN","63","NaN","NaN","NaN","167.5","NaN","NaN","NaN","141","NaN","39","NaN","38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","114","NaN","NaN","NaN"
"Unknown38","NaN","NaN","46","NaN","173","NaN","NaN","NaN","NaN","NaN","NaN","314","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","45","NaN","34","NaN","NaN","NaN","194.5","NaN","NaN","NaN","148","NaN","33","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66","NaN","NaN","NaN"
"Unknown39","NaN","NaN","50","NaN","98","NaN","NaN","NaN","NaN","NaN","NaN","252.5","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","45","NaN","37","NaN","NaN","NaN","110","NaN","NaN","NaN","139","NaN","33","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","NaN","NaN"
"Unknown40","NaN","NaN","46","NaN","249","NaN","NaN","NaN","NaN","NaN","NaN","4950","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","43","NaN","34","NaN","NaN","NaN","204","NaN","NaN","NaN","151","NaN","34","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","126","NaN","NaN","NaN"
"Unknown41","NaN","NaN","44","NaN","161","NaN","NaN","NaN","NaN","NaN","NaN","291","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","44","NaN","34","NaN","NaN","NaN","176","NaN","NaN","NaN","153","NaN","34","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93","NaN","NaN","NaN"
"Unknown42","NaN","NaN","47","NaN","50","NaN","NaN","NaN","NaN","NaN","NaN","223.5","NaN","NaN","NaN","NaN","NaN","NaN","39.5","NaN","49","NaN","38.5","NaN","NaN","NaN","83","NaN","NaN","NaN","136","NaN","30","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN"
"Unknown43","NaN","NaN","44","NaN","250","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","44","NaN","33","NaN","NaN","NaN","222","NaN","NaN","NaN","150","NaN","30","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","134","NaN","NaN","NaN"
"Unknown44","NaN","NaN","46","NaN","115","NaN","NaN","NaN","NaN","NaN","NaN","103","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","42","NaN","36","NaN","NaN","NaN","130","NaN","NaN","NaN","141","NaN","32","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","90.5","NaN","NaN","NaN"
"Unknown45","NaN","NaN","45","NaN","211.5","NaN","NaN","NaN","NaN","NaN","NaN","109","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","41","NaN","31","NaN","NaN","NaN","179","NaN","NaN","NaN","143","NaN","31","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","109","NaN","NaN","NaN"
"Unknown46","NaN","NaN","46","NaN","214","NaN","NaN","NaN","NaN","NaN","NaN","152","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","40","NaN","36","NaN","NaN","NaN","141","NaN","NaN","NaN","150","NaN","31","NaN","23.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN"
"Unknown47","NaN","NaN","45","NaN","74","NaN","NaN","NaN","NaN","NaN","NaN","219","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","44","NaN","32","NaN","NaN","NaN","104","NaN","NaN","NaN","148","NaN","32","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35.5","NaN","NaN","NaN"
"Unknown48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown50","NaN","NaN","49","NaN","165","NaN","NaN","NaN","NaN","NaN","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","44","NaN","37","NaN","NaN","NaN","182","NaN","NaN","NaN","140.5","NaN","31","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","78.5","NaN","NaN","NaN"
"Unknown51","NaN","NaN","41","NaN","227","NaN","NaN","NaN","NaN","NaN","NaN","98","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","40","NaN","36","NaN","NaN","NaN","192.5","NaN","NaN","NaN","148","NaN","31","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","113.5","NaN","NaN","NaN"
"Unknown52","NaN","NaN","49","NaN","291.5","NaN","NaN","NaN","NaN","NaN","NaN","2164","NaN","NaN","NaN","NaN","NaN","NaN","38.5","NaN","41","NaN","37","NaN","NaN","NaN","204","NaN","NaN","NaN","144","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","173","NaN","NaN","NaN"
"Unknown53","NaN","NaN","47","NaN","86","NaN","NaN","NaN","NaN","NaN","NaN","146","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","43","NaN","34","NaN","NaN","NaN","104.5","NaN","NaN","NaN","147","NaN","30","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","NaN","NaN"
"Unknown54","NaN","NaN","48","NaN","69","NaN","NaN","NaN","NaN","NaN","NaN","228","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","40","NaN","34","NaN","NaN","NaN","106","NaN","NaN","NaN","146","NaN","30","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","NaN","NaN"
"Unknown55","NaN","NaN","62","NaN","274.5","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","42","NaN","33","NaN","NaN","NaN","224.5","NaN","NaN","NaN","156.5","NaN","30.5","NaN","24.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","159","NaN","NaN","NaN"
"Unknown56","NaN","NaN","52","NaN","140","NaN","NaN","NaN","NaN","NaN","NaN","110","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","47","NaN","36","NaN","NaN","NaN","162","NaN","NaN","NaN","170","NaN","36.5","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","90","NaN","NaN","NaN"
"Unknown57","NaN","NaN","59","NaN","219","NaN","NaN","NaN","NaN","NaN","NaN","285","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","43","NaN","35","NaN","NaN","NaN","151","NaN","NaN","NaN","151","NaN","32","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","80.5","NaN","NaN","NaN"
"Unknown58","NaN","NaN","55","NaN","242","NaN","NaN","NaN","NaN","NaN","NaN","2338","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","48","NaN","42","NaN","NaN","NaN","160.5","NaN","NaN","NaN","163","NaN","36","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","204","NaN","NaN","NaN"
"Unknown59","NaN","NaN","44","NaN","123","NaN","NaN","NaN","NaN","NaN","NaN","261","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","42","NaN","33","NaN","NaN","NaN","155","NaN","NaN","NaN","130","NaN","33","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58","NaN","NaN","NaN"
"Unknown60","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown62","NaN","NaN","62","NaN","142","NaN","NaN","NaN","NaN","NaN","NaN","250","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","44","NaN","36","NaN","NaN","NaN","157","NaN","NaN","NaN","142","NaN","33","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","125","NaN","NaN","NaN"
"Unknown63","NaN","NaN","45","NaN","173","NaN","NaN","NaN","NaN","NaN","NaN","1695.5","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","40","NaN","36","NaN","NaN","NaN","153","NaN","NaN","NaN","133.5","NaN","32","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","138","NaN","NaN","NaN"
"Unknown64","NaN","NaN","62","NaN","85","NaN","NaN","NaN","NaN","NaN","NaN","215.5","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","41.5","NaN","34","NaN","NaN","NaN","112","NaN","NaN","NaN","145","NaN","31","NaN","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","NaN","NaN"
"Unknown65","NaN","NaN","48","NaN","77","NaN","NaN","NaN","NaN","NaN","NaN","3937","NaN","NaN","NaN","NaN","NaN","NaN","36.5","NaN","45","NaN","33","NaN","NaN","NaN","87","NaN","NaN","NaN","155","NaN","33","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","NaN","NaN"
"Unknown66","NaN","NaN","55","NaN","107","NaN","NaN","NaN","NaN","NaN","NaN","357.5","NaN","NaN","NaN","NaN","NaN","NaN","37.5","NaN","49","NaN","41","NaN","NaN","NaN","175.5","NaN","NaN","NaN","130","NaN","34.5","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","61","NaN","NaN","NaN"
"Unknown67","NaN","NaN","47","NaN","262","NaN","NaN","NaN","NaN","NaN","NaN","194.5","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","42","NaN","31","NaN","NaN","NaN","212","NaN","NaN","NaN","148.5","NaN","33","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","155","NaN","NaN","NaN"
"Unknown68","NaN","NaN","42","NaN","279","NaN","NaN","NaN","NaN","NaN","NaN","1847.5","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","39","NaN","30","NaN","NaN","NaN","201.5","NaN","NaN","NaN","141","NaN","32","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","225","NaN","NaN","NaN"
"Unknown69","NaN","NaN","56","NaN","226.5","NaN","NaN","NaN","NaN","NaN","NaN","102.5","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","38","NaN","34","NaN","NaN","NaN","191","NaN","NaN","NaN","146","NaN","31","NaN","24.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","104","NaN","NaN","NaN"
"Unknown70","NaN","NaN","62","NaN","151","NaN","NaN","NaN","NaN","NaN","NaN","202","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","37","NaN","36.5","NaN","NaN","NaN","178","NaN","NaN","NaN","147","NaN","30","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","80","NaN","NaN","NaN"
"Unknown71","NaN","NaN","50","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","2655","NaN","NaN","NaN","NaN","NaN","NaN","36.5","NaN","39","NaN","35","NaN","NaN","NaN","169","NaN","NaN","NaN","154","NaN","30","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN"
"Unknown72","NaN","NaN","55.5","NaN","290","NaN","NaN","NaN","NaN","NaN","NaN","2409.5","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","39","NaN","35","NaN","NaN","NaN","220.5","NaN","NaN","NaN","143","NaN","32","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","156","NaN","NaN","NaN"
"Unknown73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"

"DataType:","Mean"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
