"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"11(1,C2)","Unknown11","NaN","NaN","48","NaN","84","NaN","NaN","NaN","NaN","NaN","NaN","232","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","47","NaN","35.5","NaN","NaN","NaN","110","NaN","NaN","NaN","163","NaN","30","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","3219"
"12(1,D2)","Unknown12","NaN","NaN","54","NaN","272","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","49.5","NaN","36","NaN","NaN","NaN","220","NaN","NaN","NaN","168","NaN","34","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","238","NaN","NaN","NaN","2952"
"13(1,E2)","Unknown13","NaN","NaN","51","NaN","316","NaN","NaN","NaN","NaN","NaN","NaN","312","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","50","NaN","40","NaN","NaN","NaN","234","NaN","NaN","NaN","165","NaN","35.5","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","181","NaN","NaN","NaN","3158"
"14(1,F2)","Unknown14","NaN","NaN","49","NaN","223.5","NaN","NaN","NaN","NaN","NaN","NaN","265","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","45","NaN","37","NaN","NaN","NaN","207","NaN","NaN","NaN","168","NaN","33","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96","NaN","NaN","NaN","2940"
"17(1,A3)","Unknown15","NaN","NaN","48","NaN","263","NaN","NaN","NaN","NaN","NaN","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","50","NaN","36","NaN","NaN","NaN","234.5","NaN","NaN","NaN","158.5","NaN","34","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","132","NaN","NaN","NaN","3417"
"18(1,B3)","Unknown16","NaN","NaN","48","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","292.5","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","50","NaN","38","NaN","NaN","NaN","210","NaN","NaN","NaN","162.5","NaN","34","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","105.5","NaN","NaN","NaN","3000"
"19(1,C3)","Unknown17","NaN","NaN","59","NaN","238","NaN","NaN","NaN","NaN","NaN","NaN","131","NaN","NaN","NaN","NaN","NaN","NaN","47.5","NaN","63","NaN","45","NaN","NaN","NaN","243","NaN","NaN","NaN","178","NaN","39","NaN","33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","269","NaN","NaN","NaN","2794"
"20(1,D3)","Unknown18","NaN","NaN","48","NaN","187","NaN","NaN","NaN","NaN","NaN","NaN","411.5","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","46","NaN","38","NaN","NaN","NaN","154","NaN","NaN","NaN","161","NaN","30","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","69","NaN","NaN","NaN","3240"
"21(1,E3)","Unknown19","NaN","NaN","49","NaN","235.5","NaN","NaN","NaN","NaN","NaN","NaN","488","NaN","NaN","NaN","NaN","NaN","NaN","42.5","NaN","52","NaN","36","NaN","NaN","NaN","207.5","NaN","NaN","NaN","142","NaN","35","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN","3295"
"22(1,F3)","Unknown20","NaN","NaN","47.5","NaN","109","NaN","NaN","NaN","NaN","NaN","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","39.5","NaN","42","NaN","41","NaN","NaN","NaN","120","NaN","NaN","NaN","149","NaN","32","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48.5","NaN","NaN","NaN","3112"
