"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"10(1,B2)","Unknown14","NaN","NaN","42","NaN","234","NaN","NaN","NaN","NaN","NaN","NaN","6338","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","36","NaN","29","NaN","NaN","NaN","159","NaN","NaN","NaN","119","NaN","29","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","287.5","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","41","NaN","83","NaN","NaN","NaN","NaN","NaN","NaN","7176.5","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","33","NaN","25","NaN","NaN","NaN","87","NaN","NaN","NaN","115","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","NaN","NaN","3839"
"12(1,D2)","Unknown38","NaN","NaN","43","NaN","211","NaN","NaN","NaN","NaN","NaN","NaN","6980","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","27","NaN","NaN","NaN","139","NaN","NaN","NaN","119","NaN","30","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","229.5","NaN","NaN","NaN","3901"
"13(1,E2)","Unknown48","NaN","NaN","46","NaN","271","NaN","NaN","NaN","NaN","NaN","NaN","8100","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","43.5","NaN","37","NaN","NaN","NaN","142.5","NaN","NaN","NaN","119","NaN","31","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","400.5","NaN","NaN","NaN","3621"
"14(1,F2)","Unknown54","NaN","NaN","46","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","7660","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","30","NaN","NaN","NaN","153","NaN","NaN","NaN","119","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","231","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","44","NaN","183","NaN","NaN","NaN","NaN","NaN","NaN","6227.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","39","NaN","28","NaN","NaN","NaN","150","NaN","NaN","NaN","117","NaN","30","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","94","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","39","NaN","216.5","NaN","NaN","NaN","NaN","NaN","NaN","8049","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","41","NaN","30","NaN","NaN","NaN","176","NaN","NaN","NaN","117","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","157.5","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","42","NaN","195.5","NaN","NaN","NaN","NaN","NaN","NaN","2102","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","34","NaN","26","NaN","NaN","NaN","172","NaN","NaN","NaN","131","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","41","NaN","190.5","NaN","NaN","NaN","NaN","NaN","NaN","7194","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","40","NaN","28","NaN","NaN","NaN","121","NaN","NaN","NaN","111","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","99.5","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","51","NaN","237.5","NaN","NaN","NaN","NaN","NaN","NaN","7959","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","50","NaN","36","NaN","NaN","NaN","135","NaN","NaN","NaN","106","NaN","33","NaN","20.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","397","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","44","NaN","114.5","NaN","NaN","NaN","NaN","NaN","NaN","7064","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","36","NaN","26","NaN","NaN","NaN","97","NaN","NaN","NaN","112","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","41","NaN","126","NaN","NaN","NaN","NaN","NaN","NaN","6608","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","36","NaN","27","NaN","NaN","NaN","144","NaN","NaN","NaN","120","NaN","29","NaN","17.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","53","NaN","NaN","NaN","3859"
"26(1,B4)","Unknown16","NaN","NaN","39","NaN","146","NaN","NaN","NaN","NaN","NaN","NaN","7509","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","24","NaN","NaN","NaN","144","NaN","NaN","NaN","106.5","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","98","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","39","NaN","226","NaN","NaN","NaN","NaN","NaN","NaN","9590","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","32","NaN","24","NaN","NaN","NaN","162","NaN","NaN","NaN","120","NaN","30","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","106","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","47","NaN","117","NaN","NaN","NaN","NaN","NaN","NaN","7917.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","48","NaN","33","NaN","NaN","NaN","94","NaN","NaN","NaN","111","NaN","31","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","44","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","7879","NaN","NaN","NaN","NaN","NaN","NaN","27.5","NaN","47","NaN","33","NaN","NaN","NaN","141","NaN","NaN","NaN","105","NaN","29","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","555.5","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","42","NaN","153.5","NaN","NaN","NaN","NaN","NaN","NaN","5924.5","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","38","NaN","28","NaN","NaN","NaN","118","NaN","NaN","NaN","121","NaN","32","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","73","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
