"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"Unknown50","NaN","NaN","44","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","7879","NaN","NaN","NaN","NaN","NaN","NaN","27.5","NaN","47","NaN","33","NaN","NaN","NaN","141","NaN","NaN","NaN","105","NaN","29","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","555.5","NaN","NaN","NaN"
"Unknown51","NaN","NaN","45","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","10296","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","47","NaN","30","NaN","NaN","NaN","145","NaN","NaN","NaN","116","NaN","30","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","286","NaN","NaN","NaN"
"Unknown52","NaN","NaN","44","NaN","181.5","NaN","NaN","NaN","NaN","NaN","NaN","8210","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","28","NaN","NaN","NaN","145","NaN","NaN","NaN","120","NaN","28.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","164","NaN","NaN","NaN"
"Unknown53","NaN","NaN","43","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","5682","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","38","NaN","30","NaN","NaN","NaN","137","NaN","NaN","NaN","119.5","NaN","30","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","136","NaN","NaN","NaN"
"Unknown54","NaN","NaN","46","NaN","220","NaN","NaN","NaN","NaN","NaN","NaN","7660","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","30","NaN","NaN","NaN","153","NaN","NaN","NaN","119","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","231","NaN","NaN","NaN"
"Unknown55","NaN","NaN","44","NaN","114.5","NaN","NaN","NaN","NaN","NaN","NaN","7064","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","36","NaN","26","NaN","NaN","NaN","97","NaN","NaN","NaN","112","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64","NaN","NaN","NaN"
"Unknown56","NaN","NaN","42","NaN","153.5","NaN","NaN","NaN","NaN","NaN","NaN","5924.5","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","38","NaN","28","NaN","NaN","NaN","118","NaN","NaN","NaN","121","NaN","32","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","73","NaN","NaN","NaN"
"Unknown57","NaN","NaN","42","NaN","116","NaN","NaN","NaN","NaN","NaN","NaN","7165","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","35","NaN","25","NaN","NaN","NaN","100","NaN","NaN","NaN","118","NaN","31","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","NaN","NaN"
"Unknown58","NaN","NaN","43","NaN","66","NaN","NaN","NaN","NaN","NaN","NaN","7365","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","40","NaN","27","NaN","NaN","NaN","78","NaN","NaN","NaN","107","NaN","29.5","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN"
"Unknown59","NaN","NaN","42","NaN","94","NaN","NaN","NaN","NaN","NaN","NaN","8118","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","26","NaN","NaN","NaN","90.5","NaN","NaN","NaN","119.5","NaN","30","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","NaN","NaN"
"Unknown60","NaN","NaN","44","NaN","78.5","NaN","NaN","NaN","NaN","NaN","NaN","7255.5","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","43","NaN","32","NaN","NaN","NaN","92.5","NaN","NaN","NaN","118.5","NaN","31","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","NaN","NaN"
"Unknown61","NaN","NaN","43","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","6861","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","39","NaN","28","NaN","NaN","NaN","133","NaN","NaN","NaN","108","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN"
"Unknown62","NaN","NaN","51","NaN","138","NaN","NaN","NaN","NaN","NaN","NaN","8834.5","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","47","NaN","34","NaN","NaN","NaN","149.5","NaN","NaN","NaN","104","NaN","31","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","83","NaN","NaN","NaN"
"Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"

"DataType:","Mean"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","50.27","NaN","217.1","NaN","NaN","NaN","NaN","NaN","NaN","6668.87","NaN","NaN","NaN","NaN","NaN","NaN","33.72","NaN","41.12","NaN","35.54","NaN","NaN","NaN","163.38","NaN","NaN","NaN","123.63","NaN","39.78","NaN","24.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95.94","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","45.16","NaN","220.89","NaN","NaN","NaN","NaN","NaN","NaN","6268.36","NaN","NaN","NaN","NaN","NaN","NaN","33.73","NaN","44.48","NaN","32.05","NaN","NaN","NaN","149.22","NaN","NaN","NaN","109.91","NaN","31.97","NaN","36.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","277.36","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","47.53","NaN","164.79","NaN","NaN","NaN","NaN","NaN","NaN","4384.12","NaN","NaN","NaN","NaN","NaN","NaN","36.25","NaN","39.89","NaN","34.8","NaN","NaN","NaN","115.43","NaN","NaN","NaN","124.05","NaN","34.94","NaN","20.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","67.11","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","47.49","NaN","217.97","NaN","NaN","NaN","NaN","NaN","NaN","6976.1","NaN","NaN","NaN","NaN","NaN","NaN","33.87","NaN","44.8","NaN","33.26","NaN","NaN","NaN","136.37","NaN","NaN","NaN","120.13","NaN","35.35","NaN","21.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","187.99","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","47.79","NaN","265.42","NaN","NaN","NaN","NaN","NaN","NaN","7359.7","NaN","NaN","NaN","NaN","NaN","NaN","55.14","NaN","52.29","NaN","37.39","NaN","NaN","NaN","140.19","NaN","NaN","NaN","124.07","NaN","36.65","NaN","25.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","676.09","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","48.85","NaN","238.24","NaN","NaN","NaN","NaN","NaN","NaN","6754.76","NaN","NaN","NaN","NaN","NaN","NaN","33.99","NaN","43.65","NaN","36.76","NaN","NaN","NaN","140.87","NaN","NaN","NaN","123.77","NaN","35.69","NaN","25.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","140.78","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","16.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2.36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","43.41","NaN","168.92","NaN","NaN","NaN","NaN","NaN","NaN","7393.8","NaN","NaN","NaN","NaN","NaN","NaN","33.32","NaN","39.06","NaN","30.28","NaN","NaN","NaN","160.92","NaN","NaN","NaN","121.41","NaN","34.87","NaN","20.92","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70.88","NaN","NaN","NaN","3196"
"10(1,B2)","Unknown14","NaN","NaN","47","NaN","255.95","NaN","NaN","NaN","NaN","NaN","NaN","6331.04","NaN","NaN","NaN","NaN","NaN","NaN","35.21","NaN","46.99","NaN","36.64","NaN","NaN","NaN","161.57","NaN","NaN","NaN","128.74","NaN","33.43","NaN","30.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","288.48","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","47.24","NaN","88.66","NaN","NaN","NaN","NaN","NaN","NaN","7564.47","NaN","NaN","NaN","NaN","NaN","NaN","46.95","NaN","45.84","NaN","29.02","NaN","NaN","NaN","92.99","NaN","NaN","NaN","119.44","NaN","34.31","NaN","68.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","49.21","NaN","NaN","NaN","3839"
"12(1,D2)","Unknown38","NaN","NaN","46.92","NaN","212.49","NaN","NaN","NaN","NaN","NaN","NaN","6277.66","NaN","NaN","NaN","NaN","NaN","NaN","32.97","NaN","46.11","NaN","33.12","NaN","NaN","NaN","138.09","NaN","NaN","NaN","120.18","NaN","36.3","NaN","21.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","221.91","NaN","NaN","NaN","3901"
"13(1,E2)","Unknown48","NaN","NaN","51.42","NaN","281.13","NaN","NaN","NaN","NaN","NaN","NaN","9224.32","NaN","NaN","NaN","NaN","NaN","NaN","43.3","NaN","59.04","NaN","44.4","NaN","NaN","NaN","148.72","NaN","NaN","NaN","122.56","NaN","37.87","NaN","33.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","407.82","NaN","NaN","NaN","3621"
"14(1,F2)","Unknown54","NaN","NaN","51.21","NaN","244.4","NaN","NaN","NaN","NaN","NaN","NaN","7764.16","NaN","NaN","NaN","NaN","NaN","NaN","34.13","NaN","43.64","NaN","33.14","NaN","NaN","NaN","151.45","NaN","NaN","NaN","124.84","NaN","35.29","NaN","22.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","255.45","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","58.5","NaN","196.43","NaN","NaN","NaN","NaN","NaN","NaN","6058.61","NaN","NaN","NaN","NaN","NaN","NaN","37.41","NaN","50.39","NaN","34.04","NaN","NaN","NaN","154.25","NaN","NaN","NaN","124.73","NaN","34.21","NaN","24.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","98.87","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","46.94","NaN","236.01","NaN","NaN","NaN","NaN","NaN","NaN","7694.28","NaN","NaN","NaN","NaN","NaN","NaN","36.62","NaN","54.85","NaN","36.52","NaN","NaN","NaN","180.27","NaN","NaN","NaN","123.08","NaN","37.71","NaN","25.72","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","174.81","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","47.62","NaN","229.35","NaN","NaN","NaN","NaN","NaN","NaN","2277.26","NaN","NaN","NaN","NaN","NaN","NaN","37.16","NaN","44.71","NaN","32.33","NaN","NaN","NaN","174.71","NaN","NaN","NaN","141.37","NaN","33.92","NaN","21.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100.8","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","47.3","NaN","191.14","NaN","NaN","NaN","NaN","NaN","NaN","6666.15","NaN","NaN","NaN","NaN","NaN","NaN","35.06","NaN","47.95","NaN","34.26","NaN","NaN","NaN","121.91","NaN","NaN","NaN","120.15","NaN","33.05","NaN","26.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100.7","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","56.73","NaN","243.34","NaN","NaN","NaN","NaN","NaN","NaN","7564.7","NaN","NaN","NaN","NaN","NaN","NaN","38.77","NaN","56.23","NaN","44.07","NaN","NaN","NaN","135.7","NaN","NaN","NaN","130.95","NaN","39.09","NaN","26.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","380.61","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","49.02","NaN","122.81","NaN","NaN","NaN","NaN","NaN","NaN","7203.46","NaN","NaN","NaN","NaN","NaN","NaN","34.5","NaN","50.22","NaN","34.9","NaN","NaN","NaN","97.5","NaN","NaN","NaN","119.87","NaN","36.3","NaN","22.67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","67.18","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","47.49","NaN","134.14","NaN","NaN","NaN","NaN","NaN","NaN","6805.9","NaN","NaN","NaN","NaN","NaN","NaN","33.03","NaN","43.72","NaN","33.92","NaN","NaN","NaN","149.18","NaN","NaN","NaN","125","NaN","35.68","NaN","22.59","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","57.23","NaN","NaN","NaN","3859"
"26(1,B4)","Unknown16","NaN","NaN","45.45","NaN","152.43","NaN","NaN","NaN","NaN","NaN","NaN","6857.73","NaN","NaN","NaN","NaN","NaN","NaN","35.9","NaN","44.55","NaN","32.36","NaN","NaN","NaN","141.92","NaN","NaN","NaN","210.98","NaN","31.78","NaN","22.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","101.79","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","45","NaN","233.83","NaN","NaN","NaN","NaN","NaN","NaN","8978.24","NaN","NaN","NaN","NaN","NaN","NaN","33.25","NaN","36.86","NaN","32.43","NaN","NaN","NaN","163.23","NaN","NaN","NaN","212.26","NaN","35.1","NaN","19.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112.08","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","53.66","NaN","116.5","NaN","NaN","NaN","NaN","NaN","NaN","7355.72","NaN","NaN","NaN","NaN","NaN","NaN","35.43","NaN","51.96","NaN","37.25","NaN","NaN","NaN","93.77","NaN","NaN","NaN","115.25","NaN","33.77","NaN","25.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","49.53","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","49.31","NaN","256.83","NaN","NaN","NaN","NaN","NaN","NaN","8286.46","NaN","NaN","NaN","NaN","NaN","NaN","33.28","NaN","76.76","NaN","40.42","NaN","NaN","NaN","142.43","NaN","NaN","NaN","111.49","NaN","35.8","NaN","24.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","534.24","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","48.73","NaN","164.4","NaN","NaN","NaN","NaN","NaN","NaN","6054.8","NaN","NaN","NaN","NaN","NaN","NaN","37.09","NaN","43.62","NaN","33.03","NaN","NaN","NaN","120.41","NaN","NaN","NaN","129.05","NaN","45.97","NaN","23.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","78.09","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","11.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","46.05","NaN","235.48","NaN","NaN","NaN","NaN","NaN","NaN","6536.17","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","43.84","NaN","31.68","NaN","NaN","NaN","159.1","NaN","NaN","NaN","116.07","NaN","34.31","NaN","22.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","216.8","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","64.64","NaN","266.8","NaN","NaN","NaN","NaN","NaN","NaN","6585.15","NaN","NaN","NaN","NaN","NaN","NaN","33.93","NaN","47.39","NaN","29.7","NaN","NaN","NaN","165.26","NaN","NaN","NaN","131.91","NaN","33.49","NaN","21.61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","136.76","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","47.1","NaN","191.42","NaN","NaN","NaN","NaN","NaN","NaN","6178.12","NaN","NaN","NaN","NaN","NaN","NaN","33.01","NaN","44.37","NaN","35.78","NaN","NaN","NaN","129.23","NaN","NaN","NaN","117.85","NaN","34.99","NaN","25.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","101.63","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","39.92","NaN","168.2","NaN","NaN","NaN","NaN","NaN","NaN","2294.14","NaN","NaN","NaN","NaN","NaN","NaN","27.85","NaN","35.45","NaN","24.44","NaN","NaN","NaN","121.63","NaN","NaN","NaN","99.72","NaN","31.5","NaN","17.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","110.57","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","48.87","NaN","239.55","NaN","NaN","NaN","NaN","NaN","NaN","9566.79","NaN","NaN","NaN","NaN","NaN","NaN","31.8","NaN","56.87","NaN","36.47","NaN","NaN","NaN","145.98","NaN","NaN","NaN","121.54","NaN","36.7","NaN","22.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","276.68","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","47.2","NaN","123.22","NaN","NaN","NaN","NaN","NaN","NaN","7266.36","NaN","NaN","NaN","NaN","NaN","NaN","32.56","NaN","44.7","NaN","32.48","NaN","NaN","NaN","105.04","NaN","NaN","NaN","123.27","NaN","37.39","NaN","19.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","62.73","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","45.23","NaN","156.95","NaN","NaN","NaN","NaN","NaN","NaN","7220.84","NaN","NaN","NaN","NaN","NaN","NaN","36.53","NaN","44.39","NaN","34.18","NaN","NaN","NaN","142.03","NaN","NaN","NaN","115.61","NaN","34.17","NaN","21.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","89.97","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","49.56","NaN","148.13","NaN","NaN","NaN","NaN","NaN","NaN","6748.98","NaN","NaN","NaN","NaN","NaN","NaN","38.21","NaN","49.92","NaN","30.68","NaN","NaN","NaN","148.04","NaN","NaN","NaN","121.41","NaN","32.19","NaN","22.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","99.59","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","47.59","NaN","104.44","NaN","NaN","NaN","NaN","NaN","NaN","7379.92","NaN","NaN","NaN","NaN","NaN","NaN","33.42","NaN","45.3","NaN","38.3","NaN","NaN","NaN","101.79","NaN","NaN","NaN","117.66","NaN","34.28","NaN","20.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40.18","NaN","NaN","NaN","3445"
"44(1,D6)","Unknown42","NaN","NaN","55.93","NaN","263.58","NaN","NaN","NaN","NaN","NaN","NaN","8608.93","NaN","NaN","NaN","NaN","NaN","NaN","42.61","NaN","68.46","NaN","42.44","NaN","NaN","NaN","167.35","NaN","NaN","NaN","125.61","NaN","39.69","NaN","24.15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","198.2","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","49.01","NaN","193.23","NaN","NaN","NaN","NaN","NaN","NaN","8263.14","NaN","NaN","NaN","NaN","NaN","NaN","33.24","NaN","46","NaN","37.21","NaN","NaN","NaN","138.21","NaN","NaN","NaN","121.45","NaN","32.84","NaN","20.94","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","163.42","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","50.62","NaN","72.08","NaN","NaN","NaN","NaN","NaN","NaN","7305.47","NaN","NaN","NaN","NaN","NaN","NaN","36.89","NaN","44.79","NaN","33.7","NaN","NaN","NaN","81.37","NaN","NaN","NaN","111.39","NaN","37.76","NaN","28.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44.74","NaN","NaN","NaN","3923"
