"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","12:34 PM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO4"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 12:41:44 PM"
"BatchStopTime","1/26/2017 1:32:30 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","71","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"11(1,C2)","Unknown11","NaN","NaN","40","NaN","51","NaN","NaN","NaN","NaN","NaN","NaN","190","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","33","NaN","27","NaN","NaN","NaN","74","NaN","NaN","NaN","119","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34","NaN","NaN","NaN","2600"
"12(1,D2)","Unknown12","NaN","NaN","47","NaN","127","NaN","NaN","NaN","NaN","NaN","NaN","181","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","50","NaN","32","NaN","NaN","NaN","119","NaN","NaN","NaN","117","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93","NaN","NaN","NaN","2681"
"13(1,E2)","Unknown13","NaN","NaN","37","NaN","187","NaN","NaN","NaN","NaN","NaN","NaN","216","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","33","NaN","27","NaN","NaN","NaN","149","NaN","NaN","NaN","117","NaN","29","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","301","NaN","NaN","NaN","2917"
"14(1,F2)","Unknown14","NaN","NaN","41","NaN","165.5","NaN","NaN","NaN","NaN","NaN","NaN","138","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","37","NaN","25","NaN","NaN","NaN","164","NaN","NaN","NaN","127","NaN","31","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","130","NaN","NaN","NaN","2780"
"17(1,A3)","Unknown15","NaN","NaN","37","NaN","105","NaN","NaN","NaN","NaN","NaN","NaN","131","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","32","NaN","19","NaN","NaN","NaN","135","NaN","NaN","NaN","123","NaN","28","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","NaN","NaN","2857"
"18(1,B3)","Unknown16","NaN","NaN","39","NaN","107","NaN","NaN","NaN","NaN","NaN","NaN","242.5","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","34","NaN","23","NaN","NaN","NaN","124.5","NaN","NaN","NaN","117","NaN","29.5","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51","NaN","NaN","NaN","2380"
"19(1,C3)","Unknown17","NaN","NaN","38","NaN","89","NaN","NaN","NaN","NaN","NaN","NaN","69","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","34.5","NaN","23","NaN","NaN","NaN","117","NaN","NaN","NaN","124","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","NaN","NaN","2219"
"20(1,D3)","Unknown18","NaN","NaN","38","NaN","102","NaN","NaN","NaN","NaN","NaN","NaN","191","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","39","NaN","26","NaN","NaN","NaN","97.5","NaN","NaN","NaN","115","NaN","29","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43.5","NaN","NaN","NaN","2507"
"21(1,E3)","Unknown19","NaN","NaN","38.5","NaN","160","NaN","NaN","NaN","NaN","NaN","NaN","234","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","36","NaN","27","NaN","NaN","NaN","141","NaN","NaN","NaN","110","NaN","27","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","217.5","NaN","NaN","NaN","2509"
"22(1,F3)","Unknown20","NaN","NaN","40","NaN","81","NaN","NaN","NaN","NaN","NaN","NaN","157","NaN","NaN","NaN","NaN","NaN","NaN","33.5","NaN","36","NaN","28","NaN","NaN","NaN","97","NaN","NaN","NaN","121","NaN","31","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45","NaN","NaN","NaN","2536"
