"","Init_XX","Final_XX","Init_XO","Final_XO"
"Gsk3",0.192724590681804,0.762438991391146,-0.445344297748665,0.763520110109436
"Mek",0.0896185833323169,0.37592822274876,-0.153147765225054,0.949530718361494
"mTor",0.655912491888005,0.520540565077651,0.584075614641949,0.702603691784341
"Akt",-0.245216265798659,0.533031949854481,0.183153368973017,0.479247574425268
"Erk",0.149869200974884,0.554818229869009,0.241445706705299,0.475689611326982
"Stat3",0.852848376074979,0.917122462413513,0.762917055112083,0.801905759066563
"Smad2",0.483780339989098,0.588361862905829,0.730989378330306,0.879089889840091
