"","Cell_line","Treatment","Replicate","Treatment_numeric","Analyte","Signal","Treatment_factor"
"66","XX","15 min","R2",0.25,"pcRaf_FCoXX_M2",1.33758414517262,"0.25"
"67","XX","30 min","R2",0.5,"pcRaf_FCoXX_M2",1.43612769732392,"0.5"
"68","XX","1 h","R2",1,"pcRaf_FCoXX_M2",1.24377578723566,"1"
"69","XX","2 h","R2",2,"pcRaf_FCoXX_M2",1.17265332740846,"2"
"70","XX","4 h","R2",4,"pcRaf_FCoXX_M2",0.887926267068945,"4"
"71","XX","24 h","R2",24,"pcRaf_FCoXX_M2",0.776973877376496,"24"
"72","XX","48 h","R2",48,"pcRaf_FCoXX_M2",0.840559401816489,"48"
"73","XO","0","R2",0,"pcRaf_FCoXX_M2",1.53297917874664,"0"
"74","XO","15 min","R2",0.25,"pcRaf_FCoXX_M2",1.56878307801433,"0.25"
"75","XO","30 min","R2",0.5,"pcRaf_FCoXX_M2",1.68864732228773,"0.5"
"76","XO","1 h","R2",1,"pcRaf_FCoXX_M2",0.986976364699563,"1"
"77","XO","2 h","R2",2,"pcRaf_FCoXX_M2",0.991465181374931,"2"
"78","XO","4 h","R2",4,"pcRaf_FCoXX_M2",0.429064081788942,"4"
"79","XO","24 h","R2",24,"pcRaf_FCoXX_M2",0.509359292997893,"24"
"80","XO","48 h","R2",48,"pcRaf_FCoXX_M2",0.515782950298832,"48"
"81","XX","0","R3",0,"pcRaf_FCoXX_M2",0.987244458982104,"0"
"82","XX","15 min","R3",0.25,"pcRaf_FCoXX_M2",1.47661518870508,"0.25"
"83","XX","30 min","R3",0.5,"pcRaf_FCoXX_M2",1.57422618658631,"0.5"
"84","XX","1 h","R3",1,"pcRaf_FCoXX_M2",1.38573809416032,"1"
"85","XX","2 h","R3",2,"pcRaf_FCoXX_M2",1.27411553600113,"2"
"86","XX","4 h","R3",4,"pcRaf_FCoXX_M2",0.885856835018075,"4"
"87","XX","24 h","R3",24,"pcRaf_FCoXX_M2",0.726943481399927,"24"
"88","XX","48 h","R3",48,"pcRaf_FCoXX_M2",0.660777844654207,"48"
"89","XO","0","R3",0,"pcRaf_FCoXX_M2",1.39285276809821,"0"
"90","XO","15 min","R3",0.25,"pcRaf_FCoXX_M2",1.63561532387675,"0.25"
"91","XO","30 min","R3",0.5,"pcRaf_FCoXX_M2",1.54333110206914,"0.5"
"92","XO","1 h","R3",1,"pcRaf_FCoXX_M2",1.27110081924769,"1"
"93","XO","2 h","R3",2,"pcRaf_FCoXX_M2",0.860781921602498,"2"
"94","XO","4 h","R3",4,"pcRaf_FCoXX_M2",0.385065384597911,"4"
"95","XO","24 h","R3",24,"pcRaf_FCoXX_M2",0.28868918327739,"24"
"96","XO","48 h","R3",48,"pcRaf_FCoXX_M2",0.392856764689722,"48"
