"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"136","t","1","0","0","0","1","0","0","0","0","0","0","0.3507363","0.9429838","0.9353905",NA,"0.262937439","0.8266458","1.5396040"
"137","t","1","0","0","0","0","1","0","0","0","0","0","0.5890228","0.8756278","0.7965284",NA,"0.530535407","1.2548062","2.1455528"
"138","t","1","0","0","0","0","0","1","0","0","0","0","0.4412316","0.9140325","0.8717454",NA,"0.316764278","0.3170085","1.8507834"
"139","t","1","0","0","0","0","0","0","1","0","0","0","0.5065596","1.3536189","0.8794600",NA,"0.004096831","0.8244592","1.3524786"
"140","t","1","0","0","0","0","0","0","0","1","0","0","0.2457831","1.0197932","0.5303761",NA,"0.756571736","1.0526047","1.8730525"
"141","t","0","1","0","0","0","0","0","0","0","0","0","0.8203481","1.0469719","1.0067502",NA,"0.360974914","0.9347934","0.9164752"
"142","t","0","1","0","1","0","0","0","0","0","0","0","0.9060241","0.4437223","1.0048216",NA,"0.167183847","0.9221494","0.9714860"
"143","t","0","1","0","0","1","0","0","0","0","0","0","0.9483266","1.8676514","0.9893925",NA,"1.311929629","0.7380454","0.7697087"
"144","t","0","1","0","0","0","1","0","0","0","0","0","0.8915663","1.1757755","0.8235294",NA,"0.910333153","0.8366853","0.7803976"
"145","t","0","1","0","0","0","0","0","1","0","0","0","0.7202142","1.2785820","0.8698168",NA,"0.008859243","1.0150505","1.1746152"
"146","t","0","1","0","0","0","0","0","0","1","0","0","0.3635877","1.4085672","0.5496625",NA,"1.052489537","0.6434274","0.6524420"
"147","t","0","0","1","0","0","0","0","0","0","0","0","0.9402945","0.8992614","1.0954677",NA,"0.505374871","0.8233720","1.2652333"
"148","t","0","1","1","0","0","0","0","0","0","0","0","0.9793842","1.2691285","1.0761813",NA,"0.554116837","0.8041435","0.5346163"
"149","t","0","0","1","1","0","0","0","0","0","0","0","0.7512718","0.1784343","0.8852459",NA,"0.074039718","0.9705310","0.6472320"
"150","t","0","0","1","0","1","0","0","0","0","0","0","0.3352075","0.9093058","0.9353905",NA,"0.826693070","0.8476822","0.9133654"
"151","t","0","0","1","0","0","1","0","0","0","0","0","0.4503347","0.5376662","0.6306654",NA,"0.597180740","1.0195108","1.2766461"
"152","t","0","0","1","0","0","0","1","0","0","0","0","0.7694779","1.0983752","0.8794600",NA,NA,NA,NA
"153","t","0","0","1","0","0","0","0","1","0","0","0","0.7753681","1.2183161","0.9739634",NA,"0.010252734","1.0674306","0.8315178"
"154","t","0","0","1","0","0","0","0","0","1","0","0","0.2436412","1.1143279","0.4648023",NA,"0.535897782","0.4473809","0.6573383"
