"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"135","t","1","0","0","1","0","0","0","0","0","0","0","0.41314879","0.7027027","0.7395683","1.1208791","0.27250374","0.9937754","2.7708162"
"136","t","1","0","0","0","1","0","0","0","0","0","0","0.47266436","0.9909910","1.1568345","0.9450549","0.67979315","0.9492920","3.3734212"
"137","t","1","0","0","0","0","1","0","0","0","0","0","0.33979239","0.8108108","0.5410072","1.0989011","0.44119641","1.0774983","2.7970767"
"138","t","1","0","0","0","0","0","1","0","0","0","0","0.36262976","0.8738739","0.8633094","0.9230769","0.24731748","0.3609128","2.6612330"
"139","t","1","0","0","0","0","0","0","1","0","0","0","0.54809689","2.3243243","0.8143885","1.2307692","0.05529302","0.6411834","2.0749839"
"140","t","1","0","0","0","0","0","0","0","1","0","0","0.08096886","0.5225225","0.1784173","0.7032967",NA,NA,NA
"141","t","0","1","0","0","0","0","0","0","0","0","0","0.94463668","0.9009009","1.0388489","0.9890110","0.42838772","0.7657700","1.2445373"
"142","t","0","1","0","1","0","0","0","0","0","0","0","0.58477509","0.6846847","0.9179856","1.0989011","0.16361648","1.1923112","0.6956256"
"143","t","0","1","0","0","1","0","0","0","0","0","0","0.59723183","0.9459459","0.8000000","1.1868132","0.79712005","0.4227910","0.7416312"
"144","t","0","1","0","0","0","1","0","0","0","0","0","0.73356401","0.9279279","0.7971223","0.9450549",NA,NA,NA
"145","t","0","1","0","0","0","0","0","1","0","0","0","0.75224913","3.4504505","1.0158273","1.2087912","0.11891718","0.9917027","0.8140208"
"146","t","0","1","0","0","0","0","0","0","1","0","0","0.20622837","0.8018018","0.4546763","0.9670330","0.72366487","0.9274900","0.7702159"
