"";"Cell_type.XX";"path_name";"lv.XX";"hv.XX";"value.XX";"CI.XX";"Cell_type.XO";"lv.XO";"hv.XO";"value.XO";"CI.XO";"non_overlap"
"1";"XX";"Igfr->Pi3k->Akt->Gsk3";0,522;1,722;0,997;"0.522  :  1.722";"XO";0,042;3,756;0,601;"0.042  :  3.756";""
"2";"XX";"Erk->Raf->Mek_>Erk";-0,564;-0,121;-0,339;"-0.564  :  -0.121";"XO";-10,203;-3,579;-6,062;"-10.203  :  -3.579";"yes"
"3";"XX";"Lifr->Jak->Gsk3->Lifr";-0,001;0,006;0,001;"-0.001  :  0.006";"XO";0,006;0,151;0,048;"0.006  :  0.151";""
"4";"XX";"Lifr->Jak->Fgfr->Pi3k->Akt->Gsk3->Lifr";-0,007;0,003;0;"-0.007  :  0.003";"XO";-0,009;0,116;0,003;"-0.009  :  0.116";""
"5";"XX";"Lifr->Akt->Gsk3->Lifr";-0,004;0;-0,001;"-0.004  :  0";"XO";-0,191;-0,001;-0,033;"-0.191  :  -0.001";""
