"","Pert1","Pert2","phospho_value","Category"
"262","Igfri","Activin",-0.325956197871262,"Final_Model"
"263","Igfri","Bmp4ri",-0.350843505700051,"Final_Model"
"264","Igfri","Gsk3i",-0.441170690392573,"Final_Model"
"265","Pi3ki","None",-2.74531891389722,"Final_Model"
"266","Pi3ki","Igfri",NA,"Final_Model"
"267","Pi3ki","Pi3ki",NA,"Final_Model"
"268","Pi3ki","Fgf4",-0.793597258607548,"Final_Model"
"269","Pi3ki","Fgfri",-0.793597294384565,"Final_Model"
"270","Pi3ki","Meki",-0.793597270101456,"Final_Model"
"271","Pi3ki","NoLif",-0.667444231863799,"Final_Model"
"272","Pi3ki","Jaki",-0.787362409600925,"Final_Model"
"273","Pi3ki","Activin",-0.793597270101456,"Final_Model"
"274","Pi3ki","Bmp4ri",-0.793597277751292,"Final_Model"
"275","Pi3ki","Gsk3i",-0.791577335388903,"Final_Model"
"276","Fgf4","None",-0.179615148652563,"Final_Model"
"277","Fgf4","Igfri",-1.58348610585684,"Final_Model"
"278","Fgf4","Pi3ki",-2.81023807802281,"Final_Model"
"279","Fgf4","Fgf4",NA,"Final_Model"
"280","Fgf4","Fgfri",-0.0823132997018006,"Final_Model"
"281","Fgf4","Meki",0.0554085000250981,"Final_Model"
"282","Fgf4","NoLif",0.0605294067094908,"Final_Model"
"283","Fgf4","Jaki",-0.267839155635063,"Final_Model"
"284","Fgf4","Activin",0.0554085000250981,"Final_Model"
"285","Fgf4","Bmp4ri",0.0154144790610922,"Final_Model"
"286","Fgf4","Gsk3i",-0.320724018396975,"Final_Model"
"287","Fgfri","None",-1.06117294374104,"Final_Model"
"288","Fgfri","Igfri",-2.05514002993754,"Final_Model"
"289","Fgfri","Pi3ki",-3.12440859762317,"Final_Model"
"290","Fgfri","Fgf4",-1.1152396891929,"Final_Model"
"291","Fgfri","Fgfri",NA,"Final_Model"
"292","Fgfri","Meki",NA,"Final_Model"
"293","Fgfri","NoLif",-0.100283946336785,"Final_Model"
"294","Fgfri","Jaki",-0.418494520594851,"Final_Model"
"295","Fgfri","Activin",-0.119593984797444,"Final_Model"
"296","Fgfri","Bmp4ri",-0.146084693064855,"Final_Model"
"297","Fgfri","Gsk3i",-0.427235517879553,"Final_Model"
"298","Meki","None",0,"Final_Model"
"299","Meki","Igfri",-1.48673611327167,"Final_Model"
"300","Meki","Pi3ki",-2.74531891389722,"Final_Model"
"301","Meki","Fgf4",-0.179615148652563,"Final_Model"
"302","Meki","Fgfri",NA,"Final_Model"
"303","Meki","Meki",NA,"Final_Model"
"304","Meki","NoLif",0.00512090668439295,"Final_Model"
"305","Meki","Jaki",-0.320601637578793,"Final_Model"
"306","Meki","Activin",0,"Final_Model"
"307","Meki","Bmp4ri",-0.0397813884149502,"Final_Model"
"308","Meki","Gsk3i",-0.354840148342238,"Final_Model"
"309","NoLif","None",-0.25856775011025,"Final_Model"
"310","NoLif","Igfri",-1.61817953135066,"Final_Model"
"311","NoLif","Pi3ki",-2.83020186512135,"Final_Model"
"312","NoLif","Fgf4",-0.438182898762813,"Final_Model"
"313","NoLif","Fgfri",-1.24074763003596,"Final_Model"
"314","NoLif","Meki",-0.25856775011025,"Final_Model"
"315","NoLif","NoLif",NA,"Final_Model"
"316","NoLif","Jaki",-0.134486346194793,"Final_Model"
"317","NoLif","Activin",0.00512090668439295,"Final_Model"
"318","NoLif","Bmp4ri",-0.0201158731149186,"Final_Model"
"319","NoLif","Gsk3i",-0.281995343378999,"Final_Model"
"320","Jaki","None",-1.06969408602999,"Final_Model"
"321","Jaki","Igfri",-2.03200513284701,"Final_Model"
"322","Jaki","Pi3ki",-3.10116242450537,"Final_Model"
"323","Jaki","Fgf4",-1.24208515313159,"Final_Model"
"324","Jaki","Fgfri",-1.99486170744981,"Final_Model"
"325","Jaki","Meki",-1.06969408602999,"Final_Model"
"326","Jaki","NoLif",-0.793287502622878,"Final_Model"
"327","Jaki","Jaki",NA,"Final_Model"
"328","Jaki","Activin",-0.320601637578793,"Final_Model"
"329","Jaki","Bmp4ri",-0.341893312812572,"Final_Model"
"330","Jaki","Gsk3i",-0.469453677926986,"Final_Model"
"331","Activin","None",0,"Final_Model"
"332","Activin","Igfri",-1.48673611327167,"Final_Model"
"333","Activin","Pi3ki",-2.74531891389722,"Final_Model"
"334","Activin","Fgf4",-0.179615148652563,"Final_Model"
"335","Activin","Fgfri",-1.06117294374104,"Final_Model"
"336","Activin","Meki",0,"Final_Model"
"337","Activin","NoLif",-0.25856775011025,"Final_Model"
"338","Activin","Jaki",-1.06969408602999,"Final_Model"
"339","Activin","Activin",NA,"Final_Model"
